"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.3651587309448,0.062393354432966,0.715459517573705,9.52885898536287,11.1344844080299,11.4693461560793,11.7828660683462,12.3848691368777,131.490222587003,1.01060600481629
"kappaF_0",0.799139153518938,0.00289850991885114,0.048401451652522,0.708137293986954,0.76564424235547,0.797197879265149,0.832566017340799,0.893697092954573,278.84778082037,1.00300344376391
"kappaS_0",0.798426885887819,0.00455200058475166,0.0532740874423058,0.699428523417034,0.763131028356125,0.797299852407825,0.833750497907384,0.907133131330208,136.97061951353,1.01629396301658
"psi",9.46948543847121e-05,2.28987992876575e-06,4.02722440428908e-05,4.45143258141184e-05,6.98238999551071e-05,8.61934215982685e-05,0.000110778616087409,0.000186711064181391,309.304500382482,1.0030934847355
"f_fast",0.492848476153154,0.0265418852508387,0.224508165226502,0.0656226683315306,0.337496279316776,0.485711411014696,0.668928839320957,0.885663263881781,71.5485351773332,1.03674057665185
"rhoSlow",1.4686770026806,0.0453427733056403,0.229653526052675,1.01207033985903,1.31794508360318,1.47952841166689,1.62989164390723,1.90252072906762,25.6525224835076,1.08711767709531
"rhoFast",1.73568264128797,0.0109751146617066,0.230946906982073,1.33985149179776,1.57686981590236,1.7168129768123,1.86487005061071,2.242693725318,442.798527551013,1.00234519809713
"deltaYFP",0.344569596379174,0.00300303403873585,0.0525959889173075,0.22293852317937,0.315379156602966,0.3517770933034,0.381886810157292,0.424962778920578,306.750119551672,1.00395634170951
"lambdaSlow",0.0116117427068722,0.000317889708408261,0.00424542530059324,0.0035724117921333,0.00876139482710106,0.0117492118982109,0.0146648427848693,0.0189624544679669,178.356717752362,1.00687829988447
"lambdaFast",0.278989942526664,0.0263344007824719,0.328074492073251,0.017664050664527,0.0314721845395272,0.127250097093475,0.414736754671016,1.15988276588448,155.202262734052,1.00574256643157
"Beta",6.01249301598911,0.0318508643106992,0.670103441884588,4.66235652123482,5.59682152411759,5.9938909032212,6.40077022797811,7.42733973189988,442.63041560387,1.00313214004163
"sigma1",1.07965444606711,0.00864326075270233,0.155904096972644,0.817309389472182,0.969635475350063,1.06245964665393,1.16821439058829,1.42827750522587,325.356753482377,1.00551968447124
"sigma2",0.65812266956116,0.00710674197977411,0.100977913831475,0.484981988222378,0.580004576115459,0.650973962456113,0.734254934585084,0.857630467627592,201.888551476296,1.00563608001634
"sigma3",0.173917440193938,0.00162075654093625,0.0291518172550784,0.127950676942107,0.152754113758931,0.170045902720453,0.191709393959343,0.239145532515948,323.515951908875,1.00189428544501
"sigma4",0.155569962222663,0.00188965176986313,0.0248791034541582,0.117310917864331,0.137668238626903,0.151567791922653,0.170492210121142,0.21155172213503,173.342834902468,1.0091610286222
