"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",12.0552035661301,0.0191758084642464,0.425276093144387,11.2078932628327,11.7671871021848,12.0545113206537,12.3303416705883,12.9147069625188,491.852148580449,0.999131993109565
"kappaF_0",0.801305461059943,0.00183028592660367,0.0509205913780583,0.706632544699305,0.766524116226609,0.799269891350523,0.837232432280725,0.901748152780005,774.014322226519,0.997528898571058
"kappaS_0",0.799549402511343,0.00214881490458657,0.0522298160978682,0.702983512278426,0.763865868660587,0.798293553857912,0.834472913850079,0.906165330859162,590.797947691509,0.999565280070411
"psi",0.00201144461947525,7.35695050512528e-05,0.00126041574824851,0.000767977864373712,0.00119350781594671,0.00168986048169745,0.00235919462046977,0.00565713531000173,293.516130312255,0.998628897122388
"f_fast",0.376253720361041,0.0250190392225928,0.257892442447007,0.00982366010778671,0.156392140050679,0.340088116914067,0.565898852036551,0.961376830089196,106.251721355514,1.00946552671829
"rhoSlow",1.39477718536462,0.0352669761459039,0.251010738691907,0.538770363049865,1.28763474848026,1.41342124023353,1.53468607076572,1.79636108822567,50.6580135024548,1.01309281422739
"rhoFast",1.61315471296264,0.0102323189672089,0.241924549126558,1.21288644620278,1.44609991259196,1.58647818232166,1.76287923794459,2.15883042935374,558.999914149108,0.997189492736179
"deltaYFP",0.420923350347821,0.00178041619820646,0.0507295423242073,0.324755634017007,0.388247440939716,0.419582249548938,0.456393113538533,0.520260448845357,811.855644868009,1.00421139666587
"lambdaFast",0.438792858151679,0.0261816512372238,0.341538258053269,0.0154691358345298,0.180005346847553,0.362311237686355,0.643145378876824,1.20108655783175,170.170647505465,1.00160316426698
"lambdaSlow",0.0127463052646717,0.000287326894900835,0.0058182754534761,0.0035491121245516,0.00856009229296721,0.0121639900801509,0.0159586593707657,0.0255244635611897,410.049226672754,0.99966652625055
"Beta",6.07707024713961,0.0276831759043941,0.719727191062476,4.75080040097868,5.55137699391004,6.06005946132218,6.57343903805064,7.56588181878056,675.933539335392,0.997055076794441
"sigma1",1.19036134554856,0.00680742216900022,0.187347309418256,0.871325083648024,1.05781362386027,1.17384864472578,1.29679914099836,1.59422071725161,757.407413117851,1.00099357872573
"sigma2",0.68799974068047,0.005246827200239,0.118535323103217,0.497057971443321,0.602913203967645,0.671369546826908,0.756119274781326,0.964830995694623,510.389878151091,0.997559170996499
"sigma3",0.159895149811816,0.00107807841677362,0.0267727117672501,0.117716477457637,0.141005858794982,0.156246742842197,0.17647404310024,0.220575164639185,616.714304483648,0.997593380969655
"sigma4",0.154785328220135,0.000647632650374317,0.0223989335398511,0.118333193993419,0.138834647700699,0.152908661166138,0.167167142613365,0.205756962251919,1196.1818574723,0.998074978889589
