"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",12.0639884291957,0.00727088924187682,0.374655129313046,11.3233803625714,11.823831966504,12.0648970693615,12.3155929134372,12.791217754399,2655.1453924858,1.00024671877069
"kappa_0",0.896024793399315,0.000830967009707753,0.0468920212077577,0.801435311978811,0.863832614820329,0.89772786097815,0.930106432316632,0.98038862409536,3184.41998723253,1.00016963353088
"psi",0.00133086342691554,6.56741419107119e-06,0.000381856345295392,0.000740735878344942,0.00106991873260667,0.00128323383572687,0.00154332869984378,0.00220954511423689,3380.73561808272,0.999914984865495
"rho",1.59340119817726,0.00496446080618094,0.268914058495311,1.12009154378257,1.40918838670322,1.5764893247825,1.76231017764812,2.17444507723674,2934.15357787224,1.00023771987583
"deltaYFP",0.434751802492561,0.000746061714734108,0.0464679735450332,0.341832549772022,0.403297210013258,0.435440534048474,0.465822370694259,0.524724025621663,3879.34102012749,1.00030279204828
"Beta",5.27395010340304,0.0138819733742563,0.767365514200355,3.82321708283235,4.75321655737926,5.26363455985291,5.76636426327453,6.84647674326139,3055.63968373615,0.999619006636465
"sigma1",1.19442070533348,0.00253557799665172,0.176829755942314,0.894448731850434,1.0680789629413,1.17925043714509,1.30017021428861,1.58106553962207,4863.58764209343,0.999783972810668
"sigma2",0.663508388919131,0.00159382331103794,0.105603738969004,0.491990561627932,0.590116265548245,0.649440094734831,0.723995365604247,0.907323487612991,4390.13869603061,0.999827121382723
"sigma3",0.293597392215585,0.000684673004439245,0.045524132048148,0.220360482671566,0.262055242630666,0.287278030051562,0.319360591852761,0.398956473813285,4420.96360300087,0.999912828977937
"sigma4",0.158524346374134,0.000425735573891046,0.0275761257809847,0.115372971554836,0.139329276680063,0.154631654004636,0.173684661424253,0.223883663230362,4195.52797402054,0.9999390965052
