"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.3686518935919,0.00808777042979719,0.464238211346025,10.3594103949988,11.1135187442394,11.3896379949592,11.6711457003142,12.1961119227662,3294.76267811396,1.00038825207749
"kappa_0",0.896498607794062,0.000734844116264743,0.0471202847405405,0.799646959030311,0.864440952363454,0.896582173670592,0.930102319336853,0.982932371117862,4111.73739645813,1.00003665893198
"psi",4.94574699936785e-05,3.86850456117841e-07,1.97279445721156e-05,2.20089962393033e-05,3.59000080460137e-05,4.56207437549705e-05,5.8849077733153e-05,9.81388787636594e-05,2600.62331415004,1.00116037484047
"rho",1.65388892493356,0.00435229822468349,0.262267430036568,1.18572510740085,1.46686426043944,1.64029039574288,1.82096078143345,2.20612707311184,3631.21052930646,1.00014311612951
"deltaYFP",0.348689744186744,0.00104778672199028,0.0547250152223001,0.224365838146354,0.315492333413807,0.356153390104075,0.389871190404682,0.434729125147797,2727.8846432324,0.999737405867252
"Beta",5.34829319210873,0.0120030109800322,0.739920006129004,3.95009672162516,4.83816552413506,5.33305042551571,5.83067480643784,6.86093240582086,3800.04844540923,1.00102800679328
"r_psi",0.00316475263906476,3.42220210796696e-05,0.00188989572470785,-0.000691668893294861,0.00195474411363667,0.00320750906742242,0.00447057712622356,0.00667926583082899,3049.75095656656,1.00019061822114
"sigma1",1.03174900816124,0.00241265880803441,0.157665120467776,0.772713113324616,0.918726367621564,1.0153538549847,1.12442328959246,1.37875799080804,4270.5069702759,0.999662706044017
"sigma2",0.631751127229883,0.00146379313835113,0.0958398276721717,0.478985720538552,0.563976448217181,0.620720543853411,0.68412231183841,0.862473115236766,4286.79419784376,1.00026118447694
"sigma3",0.290896919238697,0.000652360496168217,0.0457104139989477,0.21841339886297,0.258053895308963,0.285330695212542,0.318222599073178,0.394619100522548,4909.70050506476,0.999727178198168
"sigma4",0.156790086936343,0.000415312304959287,0.0262219271119021,0.115402874210621,0.138254757925288,0.153775688216762,0.171868728377464,0.214803098592792,3986.38843653884,0.999424447873926
