"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.8219458476763,0.00551586763757645,0.315387059738523,11.2040567911909,11.615090980069,11.8177961366566,12.0302175674435,12.4590819799254,3269.33985423814,0.999874016787234
"kappa_0",0.898244205306688,0.000863998284844819,0.0487716938160123,0.80007689267792,0.863908779016616,0.899806294842858,0.934410598802925,0.985825485076102,3186.47060626889,0.999925566039573
"psi",0.000716249842318336,5.55028179528032e-06,0.00027935361491851,0.000325786530038782,0.000521344684374092,0.000662919778243842,0.000857856646449245,0.00138847759053126,2533.25275986113,0.999735820258757
"rho",1.58647824655503,0.00397751468194596,0.260962953669715,1.13118745119151,1.40212509249732,1.56550804255928,1.75234134520289,2.13945879266201,4304.61322502293,1.00088099016243
"deltaYFP",0.432991208892603,0.000649001634624505,0.0487267876044808,0.339230697419445,0.399202558044935,0.433097783713912,0.466224134953283,0.529770409588015,5636.9473721233,0.999884534594542
"Beta",5.2546803196405,0.0107161479684849,0.744874184152875,3.88326887875843,4.72740682398204,5.23483746948633,5.74362771264602,6.80054236744033,4831.57184780557,0.999853370554666
"r_psi",0.00616440203587594,3.63217373555033e-05,0.00189987292725328,0.00228374862945158,0.00494651496373299,0.00618742261489526,0.00742218851172504,0.00988675303032294,2735.99866421237,1.0003346321895
"sigma1",1.02530865994445,0.00219856844360057,0.160186907461108,0.764575746451527,0.910370727141436,1.00630497589345,1.12225686239643,1.3869265422787,5308.52728309909,1.00057214903654
"sigma2",0.647754645366394,0.00130545453908133,0.0973527683473329,0.48916205601539,0.576698281052453,0.63696069456438,0.70670190440262,0.869121246207889,5561.25880312466,0.999710452064365
"sigma3",0.294942323364234,0.000612187218699234,0.0461652452440669,0.218167019350227,0.262871953534803,0.289545838315336,0.322231878336181,0.398988909290821,5686.71911735213,1.00008114514732
"sigma4",0.158170973898587,0.00040404796430481,0.0263652152136526,0.115355538135189,0.139992319504645,0.154696644133034,0.172979159205601,0.21866156122681,4257.91311740109,1.00032880353046
