"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.2980099902257,0.0161311037549512,0.633030038706139,9.85881772694744,11.0055084054201,11.3771871286322,11.684568183667,12.271049320199,1539.99910473433,1.00122188361749
"kappa_0",0.896829567360356,0.000841298083477192,0.0472763376007519,0.799328348769888,0.86480085652105,0.898664275431159,0.931191448533059,0.982333445635295,3157.82349328429,1.00011823095074
"psi",6.30651537814599e-05,3.65775685748437e-07,2.03196433966766e-05,3.38374657636531e-05,4.89988759327098e-05,5.96132610808375e-05,7.28893677106879e-05,0.000113187443887935,3086.04672644329,1.00184782929327
"delta",1.59998029556808,0.00475748545042039,0.250915216540508,1.13587945227574,1.42550748400385,1.58590939691239,1.75652405672756,2.1498899844669,2781.62807802094,1.00227103719046
"r_d",-1.97173487845253e-05,3.24355292135917e-07,1.73847446991689e-05,-5.14369652880494e-05,-3.04546193809129e-05,-2.03409170164339e-05,-9.90573175149549e-06,1.8980593015486e-05,2872.72899734853,0.99970086742097
"deltaYFP",0.331320265879472,0.00126800918376026,0.0611507380462337,0.193684269575922,0.292062388710764,0.339642265031167,0.377274451206575,0.426322234065442,2325.72632153745,1.00166703289919
"Beta",5.40211117979048,0.0133117576993402,0.744095941823735,4.05079182441323,4.88987699127399,5.37686041394337,5.88555133552748,6.93707876847824,3124.54701569122,1.00091317853844
"sigma1",1.04807594182864,0.00284121868375224,0.158676914310277,0.788536700042529,0.934318465406393,1.02817092578674,1.14602491659024,1.40090731009401,3119.02006793301,1.00032281493996
"sigma2",0.648327088584462,0.002017181405133,0.100379749622076,0.4884080328162,0.576079293903924,0.63804538612382,0.705928799265762,0.874919773715939,2476.29456247993,0.999706602034569
"sigma3",0.288055364860632,0.000833315023563006,0.0455491464046065,0.214548217666513,0.256178759781425,0.283029916226915,0.313267092208983,0.391442763610938,2987.7349129249,1.00019579043322
"sigma4",0.159551117733053,0.000482669632705611,0.0276230312031164,0.115262424220258,0.140367937654594,0.155680806816874,0.175273909994136,0.22172678336685,3275.23688416305,0.999983947627943
