"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.7794908818947,0.00676828429568297,0.361524772123647,11.0587310900809,11.5387831296444,11.7843255367116,12.0236813788142,12.4759814583646,2853.11276585021,1.00151645188942
"kappa_0",0.898365685425119,0.000778309149245419,0.0458335487422759,0.806739143652124,0.867388379269201,0.899778834832582,0.930650483823041,0.981584423056479,3467.86911301983,0.999591510336612
"psi",0.000938557979519109,5.37231055145695e-06,0.000296991118463527,0.000493558909458322,0.00073808766114572,0.000891319074484254,0.00108300391875085,0.00168440250053277,3056.07990186463,1.00032833246468
"delta",1.56002756213453,0.00440779656897641,0.260301780767045,1.09771071881366,1.3761797801376,1.54252819376541,1.73363679924236,2.09151875041479,3487.47572534543,1.00000643164985
"r_d",-2.61724496844973e-05,2.03183891900183e-07,1.28407027858289e-05,-5.20368160504849e-05,-3.38585355329447e-05,-2.61732244915876e-05,-1.84094944626449e-05,6.65936186527253e-07,3993.91702503013,0.999549858640117
"deltaYFP",0.402613463511135,0.000786006270266893,0.0477804415938719,0.309498073486345,0.371006561609164,0.40291892103809,0.434066734410409,0.497058653817149,3695.28804787473,1.00037116055923
"Beta",5.33825396441357,0.0118888386128643,0.761602321553659,3.9404793900769,4.80339528183347,5.32678225275843,5.83043631747701,6.88180311823467,4103.71937818489,0.999539879232292
"sigma1",1.05865320580296,0.00287568322466372,0.165402640049884,0.787711761144831,0.942005243135408,1.04067163608673,1.15516641744377,1.4360481210106,3308.2840147098,1.00000512747645
"sigma2",0.676749111911471,0.00161741383640668,0.103115453751625,0.508378220218573,0.604049120563646,0.663864067395842,0.736435369187699,0.903252988394612,4064.48201650437,0.999940366948488
"sigma3",0.29314723466611,0.000683864795777393,0.0452204016742554,0.22045153064119,0.26172892454169,0.287267992592276,0.318779901020161,0.397407955731055,4372.48508037839,0.999710434418185
"sigma4",0.159776780557717,0.00043924315513173,0.0273984674064749,0.117035613884452,0.140096251806515,0.15608235009622,0.174944955935829,0.221959833678474,3890.83250682796,0.999696771031475
