"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.8822454383665,0.00721136376883443,0.349422038323963,11.2176759591942,11.6472543090092,11.8762484136722,12.1107886167342,12.5684910276392,2347.82530104368,0.999975209317846
"kappa_0",0.897040393560766,0.000952807081186414,0.0468680668494905,0.804293518775357,0.865006608595525,0.89807411412752,0.929522214667123,0.987226623991722,2419.6030826545,1.00147948945291
"psi",0.00113706026453323,7.62710393853898e-06,0.000352982864004063,0.000614455142579325,0.00089057597495653,0.00107709441514287,0.0013269519808301,0.00196064075815462,2141.84439172901,0.999839292083779
"rho",1.54959969541111,0.00452845965739809,0.256748485543584,1.09795641509737,1.3686504410911,1.53217510311242,1.71794603368901,2.0758598693866,3214.50995367799,1.00008645588957
"r_d",2.97305502280645e-05,2.08025109449682e-07,1.17616828882638e-05,6.79463129116854e-06,2.22063836561653e-05,2.9404765631626e-05,3.71483522029221e-05,5.32556461764604e-05,3196.74072425185,1.00015609620071
"deltaYFP",0.403916367002958,0.000734800109209699,0.0475512617001297,0.311351644814479,0.371184199099163,0.404167148319695,0.436005789405257,0.497481544573191,4187.79742160296,0.999665958242716
"Beta",5.29265043404484,0.0119025948522055,0.751057795495748,3.90454131849975,4.78405306266071,5.26845591943828,5.77983766623568,6.80934399949442,3981.65305060995,1.00026128455455
"sigma1",1.0656122630474,0.00337702769125395,0.168936009139132,0.791316392425786,0.945116065782589,1.04657357856776,1.16512285523701,1.45156542614678,2502.50651727364,1.00077832033997
"sigma2",0.66616916901672,0.0016989896722475,0.103268918249489,0.497772765957292,0.591987568824457,0.654493932584721,0.727624600467271,0.901539974137842,3694.5179227542,0.999819623712719
"sigma3",0.296700781245495,0.000744362020280246,0.0461844295983469,0.220241023659954,0.263540026309884,0.29088414520124,0.323000190759634,0.40689200561524,3849.66338655548,1.00046207037774
"sigma4",0.159445383213891,0.000430167904072074,0.0271438951474129,0.115895610252808,0.140792738550752,0.155933507139822,0.17425185938598,0.222971746575106,3981.69813011875,1.00077266016856
