"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",9.39072013631064,0.0303238716449168,1.55844552017384,6.01979311231218,8.35721514325058,9.60332144127202,10.567502514447,11.8892527356434,2641.27700510868,1.00065367186319
"kappaF_0",0.896310636597353,0.000703518386411657,0.0468946287509389,0.798531433635947,0.864817097242239,0.897980062788129,0.930418553900842,0.980253039006628,4443.19424335876,0.999596348342979
"kappaS_0",0.898248505964925,0.000923347967640634,0.0469868044202081,0.803595357309378,0.865982790562694,0.898120046396414,0.932771609592358,0.984602257981202,2589.5304604976,1.00045796914168
"psi",0.00832024994909478,0.00013398376824191,0.0057557564275152,0.00237942925947121,0.00432382758212163,0.00675150452342299,0.0105104871569796,0.0232827005728623,1845.44216112825,0.999933287829782
"f_fast",0.65490176029434,0.00630104220594349,0.223267759356341,0.105015792308326,0.530037167493739,0.711185389429369,0.829562394124877,0.936981240243816,1255.53045189928,1.0010719381625
"rhoSlow",1.07070566067413,0.00310501048807702,0.174946135428324,0.75828909792478,0.949117705009969,1.0589025294277,1.17889914878516,1.44591564479456,3174.55286541482,1.00007741852296
"rhoFast",1.26521341971064,0.00332903053678144,0.234496194429685,0.872242213856908,1.09438357187257,1.23999740523667,1.40751160725458,1.79255231509658,4961.76327531419,0.999750014086853
"deltaYFP",0.128837287276996,0.000436416800884636,0.0303468308654923,0.0711413697732462,0.107881931010785,0.128789328684951,0.149383242172103,0.189109013887062,4835.30379710525,1.00000550528824
"lambdaFast",0.588902954741465,0.00750504337027061,0.31846836148921,0.102356870958271,0.347926382458121,0.54368491809394,0.785875176420074,1.3243074871933,1800.63701833372,0.999957581932488
"lambdaSlow",0.0125835811899783,7.11292588725464e-05,0.00482693646484658,0.00513581679648968,0.00921181886511361,0.0119150822922734,0.0152295738338232,0.0236642174557958,4605.17986950495,0.999559941409154
"Beta",5.35577594127278,0.0130400909132411,0.739519796296554,3.97744830791698,4.84234124409799,5.33559834044678,5.8454921751674,6.88385592426779,3216.16535897171,1.00042411515462
"sigma1",0.66790624323344,0.00181252000475793,0.110973761612229,0.493075722231159,0.589637543061549,0.654591626339724,0.730030069968452,0.921779473912239,3748.65089690115,1.00083316574899
"sigma2",0.543235891731333,0.00134472175261581,0.0834117957559115,0.407756398788921,0.4855040184813,0.533002494392649,0.591419713667753,0.730353214075013,3847.60146880612,0.999923141290684
"sigma3",0.252885704669576,0.000654199787437284,0.0397359142754813,0.190434276633657,0.224677648729492,0.247674512800873,0.274800093832939,0.349030684049187,3689.31402437146,1.00016549024617
"sigma4",0.254666528743236,0.000672766773202487,0.0401299598456367,0.191202864459193,0.22604043548943,0.249906574657785,0.277457074855692,0.345584049585811,3558.01997429608,1.0012969979878
