"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.99038402241415,0.0250158218535066,1.44964955672234,5.65813839946804,8.07615952816127,9.1527285215723,10.0839917376027,11.241942855165,3358.12225718798,0.999689811535135
"kappa_0",0.898840144992225,0.000863866740969645,0.0478892431620187,0.801697235408489,0.866693696149538,0.900646197151855,0.93279318568001,0.985305849318025,3073.14066396822,0.999960266282745
"psi",0.00438037087916887,1.32445264978914e-05,0.000812467948044409,0.00301641601289805,0.00382127405471525,0.0042913099525706,0.00486684116744349,0.00616721345341697,3763.04663877479,1.00021231129076
"rho",1.75568621140761,0.00427786177777514,0.271154499388584,1.2706864577964,1.56738859890683,1.74481491740715,1.92884303709635,2.33049318816807,4017.72432691862,1.00075630365094
"deltaYFP",0.151751421752692,0.000445067651220031,0.0288855893365793,0.0957861245759981,0.131791201664353,0.151629457311443,0.171643313834231,0.208626776083381,4212.21379318575,0.999839446701659
"Beta",5.53556214989317,0.0112916005126025,0.751939940843892,4.15472474234395,5.0067008820345,5.5071378192982,6.03310686689329,7.09502039224052,4434.60863417266,1.00001303724823
"sigma1",0.770038330269576,0.00174484212856701,0.113876773644602,0.578431924638465,0.689202727915232,0.759754982668169,0.838832357390333,1.02582155117792,4259.49420073882,1.00008708217061
"sigma2",0.564632828445585,0.00131928629114153,0.0826621924796896,0.426638292681225,0.50624300467634,0.556565087558642,0.61281111788048,0.75216593419667,3925.86843048079,1.00013802529007
"sigma3",0.135867264466326,0.000397265754680966,0.0239585497986088,0.0988395740759409,0.118841169814325,0.132080895675347,0.149439710926777,0.191116621251408,3637.12975577138,0.999986428840654
"sigma4",0.246902452203601,0.000633716567328885,0.0389911430205509,0.185795102751857,0.219151822417998,0.241971329123242,0.269350347188338,0.334474676842158,3785.6617860301,0.999640809225479
