"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.64089526563389,0.0220135050779801,1.34513797171861,5.65254459802423,7.82124634593644,8.80508322849319,9.6457447848228,10.8105676923624,3733.83625818795,0.999655933682109
"kappa_0",0.897696821068115,0.000850648203790988,0.0474953835010164,0.801247832562986,0.865192501668327,0.898364454704132,0.932165021188259,0.987099219773651,3117.47384750553,0.99992471023405
"psi",0.00194513097243071,9.67604381473767e-06,0.000548759982261132,0.00109507563621587,0.0015729327596741,0.00186295119862484,0.00223102666755506,0.00323032813912128,3216.39378509166,1.00018421859147
"rho",1.81972906239963,0.00431395821066246,0.269255068486246,1.32137295297531,1.62437912753842,1.8120032203481,1.99676858628931,2.38163099499346,3895.61390162155,0.999952269291275
"deltaYFP",0.134617996139604,0.000392348115063223,0.0285671325951055,0.0808357875693453,0.115038464519866,0.134221150155915,0.153790522429813,0.190986458903521,5301.39495156709,0.999900152595961
"Beta",5.52227846516528,0.0103369467016942,0.730348879805912,4.11990641185441,5.02622891471259,5.51047267695494,5.99875138136151,7.02502343455418,4992.01844040091,0.999539270075503
"r_psi",0.00302749607423552,2.09339541679871e-05,0.00122330773953983,0.000577932058031208,0.00225607343834371,0.00304273939961141,0.00383287469622559,0.0053801741507416,3414.82858994421,1.00004868227967
"sigma1",0.670269852354428,0.00167899837565385,0.104932206538796,0.504620217590174,0.595414092066245,0.656980586929611,0.729132961258606,0.909371246561593,3905.86347408032,0.999618433733152
"sigma2",0.536927713825355,0.00100922505455105,0.077741179602684,0.409885220764161,0.481422970587751,0.52832820898269,0.583028628251756,0.713077482625051,5933.70846911024,0.99945680625903
"sigma3",0.140183992074338,0.000367765483335627,0.0251465897590123,0.100361270681326,0.122286139195056,0.136756599768831,0.154638412941486,0.198073156621883,4675.37296702259,1.00063060926762
"sigma4",0.246727744602793,0.000539471244810239,0.0372753382242506,0.185284648714574,0.220614080494823,0.242534455139587,0.268447485535945,0.332012050377575,4774.26569313041,0.999665184841319
