"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.54111662857751,0.0215346744993729,1.32725535099531,5.65397819723189,7.71106527389317,8.68780987802049,9.50517064430902,10.7163742835393,3798.67681814672,1.00000764566672
"kappa_0",0.898151212592656,0.000953561877876276,0.0475735347362191,0.801040727162419,0.866127873397476,0.898328239779232,0.932500610870954,0.987840157570434,2489.0469082607,1.0016294444483
"psi",0.00252077053240162,9.3731261903673e-06,0.000522329938209323,0.00167748192382778,0.00215826364453506,0.00245713828063326,0.00280625332272519,0.003746416403265,3105.42403354881,1.0003030872794
"delta",1.7871414550317,0.00478027685829259,0.270189987342123,1.30009138557416,1.59372475753581,1.77661970627448,1.96958004725102,2.32294632627354,3194.71706328961,0.999627683109689
"r_d",-3.47260098781464e-05,2.54286936221462e-07,1.58342282675313e-05,-6.50761652188921e-05,-4.47181107640048e-05,-3.46263592631343e-05,-2.50856600577838e-05,-2.63981832670001e-06,3877.44552001301,1.00015155421843
"deltaYFP",0.129824830974099,0.000442087277522127,0.027746547301965,0.0754767716059739,0.111245578419482,0.129420239792011,0.148495909792629,0.184511095666629,3939.14405466127,1.00022552167461
"Beta",5.58621723732682,0.0115827788088987,0.723410112324489,4.24264569826182,5.0773459863757,5.56768898731783,6.08535613903535,7.03646473148,3900.70965131625,1.00015444512047
"sigma1",0.685080974554815,0.00183289860508676,0.105342902961981,0.515414103175704,0.611017688148346,0.672428008829737,0.745970414963786,0.931241308431026,3303.1909720848,0.999589605068776
"sigma2",0.538954219592188,0.00118781286152501,0.0801276043347589,0.408121550724605,0.481838364407277,0.529620534959768,0.586178494242004,0.713412622681918,4550.59588494543,0.999603849527933
"sigma3",0.140817235937312,0.000452400864804846,0.0255025612167205,0.101196439881899,0.122417231221284,0.137624828586531,0.1549735324056,0.200469627755815,3177.75744263767,0.999576218626075
"sigma4",0.247229382212339,0.000616310091729536,0.0380378081329553,0.186200338855037,0.22007251695161,0.242898106898749,0.269678022704708,0.335880705164898,3809.18801050866,0.999471978685998
