"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.50368654032002,0.0252429801809647,1.39497018249694,5.33103069594559,7.63314944229624,8.63958580402089,9.53498479688485,10.7781423138867,3053.85629527295,1.00180118849264
"kappa_0",0.897527311793638,0.000903393002761543,0.0477003420228141,0.799214180815944,0.865471414197295,0.899429053539464,0.931078933976784,0.987081633088166,2787.97927664121,1.001648405979
"psi",0.00253835487231318,9.84516124347775e-06,0.000537915731171789,0.00169013135066903,0.00216438791254929,0.00247273313812935,0.0028323253263366,0.00377069141945031,2985.26455020393,0.999981959931027
"rho",1.77332263897884,0.00483324789477504,0.273545245053933,1.27758440220457,1.58456976292943,1.75869250308039,1.9496911702777,2.34189405893323,3203.17155426106,1.0014216816238
"r_d",3.41478965912067e-05,2.7866512793809e-07,1.65562324105563e-05,9.25275955551436e-07,2.47764389022537e-05,3.44518961110582e-05,4.39707327746066e-05,6.64924108870744e-05,3529.86242448221,0.999791140478601
"deltaYFP",0.128165532148229,0.000518159890679453,0.0284552196003243,0.0722792541258513,0.108816892765078,0.128183116650048,0.146993215879834,0.18560598520499,3015.75667897937,1.00007904422602
"Beta",5.57192743382591,0.0116651941225364,0.730750773762223,4.17654280826589,5.06897949849581,5.56029341955789,6.06003981282389,7.03498414517522,3924.23156773661,1.00076130541157
"sigma1",0.688732615193329,0.00202034052842733,0.10873173134731,0.512397684142904,0.612383756681168,0.677678386566714,0.749684416367668,0.942635681366504,2896.43278658947,1.00071291078545
"sigma2",0.539419893244265,0.00135727137074291,0.0801581692063817,0.41138257936284,0.481633941664691,0.52946690633459,0.586422367604045,0.720788894648983,3487.88535843932,1.00043144922529
"sigma3",0.1399700865516,0.000436175080339353,0.0251453176825211,0.100345855178624,0.122567304524241,0.136355129822874,0.154131421363701,0.200393806041399,3323.47605528146,0.999631142052184
"sigma4",0.247994952003838,0.000670987045426015,0.0380532690280996,0.186542142395795,0.220386509113909,0.2427260212638,0.270850265435989,0.334377548361938,3216.29349297529,1.00031655907867
