"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",17.2688105071209,0.00522809467484236,0.22208816039852,16.8781345553346,17.117508958229,17.2521096902412,17.4062937394425,17.7524833393733,1804.52925163258,1.00174308127788
"alpha",0.159552270208038,0.00264912128997713,0.118440103669207,0.00624600667017494,0.0646559744975111,0.137877772826106,0.228232930823962,0.438422929646964,1998.91290526368,1.00098982216043
"kappa_0",0.231433254704061,0.002421179364164,0.13016322976611,0.0210636631645816,0.129554561679984,0.221404436636678,0.3196521231964,0.500873942327085,2890.16545055357,1.00041947332296
"kappa_inc",0.371235863634528,0.00437631797993483,0.260191946128964,0.0114829128971178,0.1471222203206,0.333983677367342,0.554010724677375,0.929288664038923,3534.84161305166,0.999874235876719
"psi",0.540658182023085,0.00105430651134433,0.0502277734908249,0.447331577171256,0.50598967609528,0.538087644960896,0.572900086225711,0.644762459950287,2269.62484399339,1.00071862833599
"rho",0.00833269297962069,6.44818641712531e-05,0.00234716803323607,0.00462413949655379,0.00675462451348011,0.00803307478160502,0.0095941613752229,0.0138404720456341,1324.99181246756,1.00771880975925
"delta",0.020867972532456,6.97554131366151e-05,0.00263977047051946,0.0165362249408488,0.0190425991137139,0.0205999309681357,0.0223095633579487,0.0269361442884318,1432.11041211992,1.00492002930956
"rho_inc",0.192924778351427,0.00405454214561699,0.155609073636531,0.00681747569782014,0.0706901566957864,0.159043059418863,0.277967182609351,0.566824749596928,1472.94386665507,1.00093156576979
"delta_inc",0.455198528593068,0.0049010916944343,0.243732987898828,0.0753587432730983,0.274968295323923,0.423900029624149,0.601104626025014,1.00285888383276,2473.10735705061,1.00349031837537
"Beta",5.99198954432808,0.0233398814166489,0.854661516296437,4.29196827808749,5.44075739886005,5.98309115970576,6.56548423176862,7.72894217025111,1340.88337933579,1.00562763126668
"sigma1",0.314776905006646,0.000820305259220324,0.0393821975209765,0.250584620484793,0.287227227129598,0.310269925868022,0.338303528165309,0.405377733289084,2304.88308214187,1.00314519030842
"sigma2",0.126423565653712,0.000315670810034567,0.0155323996158456,0.10016112223592,0.115519260347392,0.1247210627013,0.135465865319931,0.161022503302606,2421.07510252504,1.00025512217748
"sigma3",0.898298819732888,0.00255259072925735,0.115645094973161,0.700580642825144,0.819586618704918,0.886930662087127,0.967302133263907,1.15371577714028,2052.54203051421,1.00248988682536
"sigma4",0.597826649039625,0.00136656976995174,0.0694348367265648,0.47827016294014,0.548276036557812,0.592285760146447,0.641618908416468,0.747256829552619,2581.61346994168,1.00287624106113
