"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.5779490727145,0.0184067884136927,0.474804773861674,10.6585709604741,11.2661710517044,11.5710590790966,11.8701938054581,12.5371664977571,665.386696470868,1.00424073063299
"alpha",0.0588295416555116,0.00259778729570296,0.0788910583815489,0.000566777988845821,0.0110461805134451,0.0319130408135455,0.0754081294603,0.26161310192047,922.249413672072,1.00029065691275
"kappa_0",0.899364543002005,0.00186208810361014,0.0482872071751871,0.800629878699324,0.866750915480856,0.901152255885523,0.936131737385426,0.986593427032586,672.455769315722,1.00309588832348
"kappa_inc",0.364924004134008,0.00748971617351997,0.249991323828331,0.00997149525844438,0.155731152506087,0.324540195941421,0.543198640841622,0.893992294152835,1114.08711725859,1.00018583246222
"psi",3.91145128830672e-05,4.14749657515955e-07,1.17126342490519e-05,2.04177103964975e-05,3.07912217727135e-05,3.70724533044209e-05,4.58070245421272e-05,6.75585608432172e-05,797.511751845074,1.0081802851388
"rho",1.29082622540268,0.00923075161808022,0.186312510550049,0.959632887175083,1.15801074322087,1.28237790643614,1.41200256980901,1.68308305744547,407.389569789185,1.00367358738563
"delta",1.30030805187019,0.009205430125379,0.186303723561832,0.971036125781452,1.16456051399469,1.2922771360319,1.42256807416932,1.68939165538906,409.595237609474,1.0035282738081
"rho_inc",0.665793615904228,0.0142132655218411,0.354264420838451,0.0732542343254513,0.413032787583107,0.625139303199815,0.894207584844991,1.42398277472605,621.251338073633,0.999682730932282
"Beta",5.91126656713364,0.032283139069558,0.766151840793758,4.48481557871001,5.40270367033759,5.92612300645388,6.42340138648327,7.45272718246228,563.220151150136,1.00613334716207
"sigma1",1.10062689128912,0.00596202733488832,0.179659305754739,0.81880664887582,0.966254510764195,1.0826967534242,1.21411791942057,1.4953389356814,908.053650180662,1.00078685050054
"sigma2",0.200038165321151,0.00111007007332657,0.0361844726151642,0.144569313885627,0.175066987983495,0.195466434656985,0.219156376363679,0.284117887431796,1062.53612705232,1.00059148717625
"sigma3",0.298389178675269,0.00151526485862087,0.0473951887447248,0.219359257686006,0.265838501471373,0.293256579348484,0.324041621560394,0.412045645572274,978.343607105838,1.00244410054778
"sigma4",0.170794865905693,0.00110063545084664,0.0306757826672359,0.125888028170314,0.148779855066962,0.166576841306311,0.186358323746624,0.242918632741297,776.791223777793,1.00456385859161
