"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.5286179434729,0.0239161027128188,0.508976798238677,10.626020970252,11.2024385650126,11.5274100855577,11.8476060394094,12.5286985786427,452.913380186637,1.00868068515664
"alpha",0.0734167695493728,0.00369744324039036,0.0914061006991963,0.00119194346216461,0.0155607626276885,0.0387114083515231,0.0943088071193911,0.343096302000579,611.14932125616,1.00549744607394
"kappa_0",0.901275640219413,0.00198617944989129,0.0487539108997009,0.804765501652171,0.86831331423854,0.90179089165832,0.938090655431698,0.989567940077995,602.534543687177,1.00392353387482
"kappa_inc",0.369022533088869,0.00799985189318676,0.248350923221794,0.0157035758828201,0.165377812472422,0.335570041253302,0.54218062202166,0.891192526737408,963.757263566401,1.00028425178689
"psi",0.00121794598757325,1.42399049200823e-05,0.000386733440665829,0.000659149595915945,0.000940995199587541,0.00114854720488705,0.00143083713707814,0.00208948424670986,737.580242583207,1.00312479813867
"rho",1.27025121492126,0.0090812385560565,0.190457947721817,0.918453270923948,1.13389360974019,1.2646843218028,1.39939932233148,1.64268397902432,439.853479508057,1.00053580019026
"delta",1.27837365832338,0.00906085076127915,0.190215278207274,0.92842621620342,1.14192954982618,1.27450442283967,1.40750876103758,1.65158536115507,440.709932931555,1.00050484436153
"rho_inc",0.717010611332242,0.0147581582077324,0.360764867217465,0.101554662637041,0.446812990895193,0.701111987458316,0.946830751801016,1.47485103841117,597.563622985463,1.00099426210254
"Beta",5.85738754455432,0.0292642672248011,0.765041757030363,4.45942573771278,5.3189361576503,5.8421996710034,6.36918457725814,7.45264597813261,683.431469548963,1.00064530684381
"sigma1",1.1199589724663,0.00624738074376665,0.177055493493714,0.819550451105327,0.989524236489616,1.10432845468921,1.23061215188222,1.5067713786161,803.198452425507,0.999339741765694
"sigma2",0.208662510419031,0.00208955311235713,0.041141709684848,0.147898577693367,0.181433168369185,0.201072340062631,0.230507305203365,0.301372400268777,387.666114542244,1.00345997939419
"sigma3",0.302833730835696,0.00185962698020534,0.0479664501481485,0.228626573340542,0.269644171332351,0.296460184718334,0.330449469774186,0.41144720187578,665.309126073237,1.00197613699422
"sigma4",0.170838604286952,0.00111239983451427,0.030634286392294,0.121423274405305,0.1490017569252,0.167004476261516,0.188220265753542,0.241728247821362,758.391933629029,1.00216132518769
