"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",9.54251764818726,0.0424221634294421,1.18141584217794,6.74439153112377,8.95510999920301,9.71740082725471,10.3310988159492,11.3710416175114,775.568130793287,0.999496284918358
"alpha",0.306674319164097,0.00501241276391166,0.173635071512035,0.0450202309118094,0.173419747531063,0.284260548654438,0.41968649656215,0.706428021442354,1200,0.997513526269411
"kappa_0",0.896820532870507,0.00138944943062795,0.0481319401679052,0.79660596308903,0.863942290878505,0.897117898425034,0.931239025373438,0.98532539970269,1200,1.00354727331691
"kappa_inc",0.387232898682197,0.00747530728426835,0.25895224037085,0.015577530579542,0.169492259460932,0.35324807574892,0.584754359665216,0.925835403577578,1200,0.998437032059525
"psi",0.000190061540841916,9.35409050976396e-07,3.24035200430181e-05,0.000134409574692507,0.000166475961051876,0.000186654329643876,0.000210134082718055,0.000259359207574239,1200,1.00046026834539
"rho",2.39943725953565,0.00905483585363601,0.313668715053877,1.78866260311203,2.17485539725919,2.3873309107754,2.61398171106435,3.02851983379271,1200,0.999205377294882
"lambda",0.0579296818927345,0.000120199450116508,0.00416383109287267,0.0503599141560335,0.0548748937453688,0.0578257499136157,0.0609316509582696,0.0658992303915901,1200,0.99858611235268
"rho_inc",1.05876838406038,0.0125018807148942,0.433077851767246,0.276494688743369,0.735279391823747,1.055270768023,1.34844804993122,1.93863543019219,1200,1.00230566205307
"Beta",5.24673660668288,0.0201274496665304,0.697235308984318,3.97759662233093,4.74136211142549,5.23840776073292,5.72432171766458,6.65604256535531,1200,0.998380047031826
"sigma1",0.750966029250028,0.0031838302315655,0.110291114474905,0.57824740759148,0.671846176926793,0.739103871851299,0.818291993871197,0.995937786239168,1200,0.998872687944121
"sigma2",0.181062095343598,0.000845902233836026,0.0293029129448001,0.13504871532724,0.159788931452423,0.177323813058362,0.198754536521734,0.247485746154891,1200,1.00171298905493
"sigma3",0.140989462669161,0.000704554847030796,0.0244064958355251,0.102907582638766,0.124004342807912,0.137577384762392,0.154809208480829,0.197541024827159,1200,1.00005776786115
"sigma4",0.246214323732562,0.00105133919028158,0.0364194578711203,0.185668926611998,0.221776226720748,0.241359689480186,0.267412603601625,0.32827858577759,1200,0.998206391983145
