"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",10.7799415980818,0.0214903255690784,0.539549063520714,9.75475819826836,10.4204536867013,10.7789398358114,11.129776612815,11.8761154997431,630.34149344431,1.00435293587442
"alpha",0.296794830258022,0.0066809927198672,0.179508082300903,0.0229318652298019,0.153190442248345,0.279438025945965,0.416183823359604,0.685207224135228,721.914920127028,1.00672076246736
"kappa_0",0.896224706912241,0.00151659799438024,0.0457322554955032,0.804088216957591,0.864547329674137,0.896774975255609,0.930043796009465,0.980813951700152,909.293920910433,1.00164532781785
"kappa_inc",0.384630191346368,0.00914641909964873,0.252349439494262,0.0203501713091239,0.172686437220641,0.349648861057456,0.555766837374115,0.920044794244023,761.206510526184,1.01060943486661
"psi",0.00126729428794569,1.10369556510762e-05,0.000317252683986463,0.000769881297581071,0.00105113862913031,0.00121839177600552,0.00143138727518746,0.00202145480400769,826.251032085837,1.00541174179059
"rho",1.36689871247681,0.0081216975573077,0.187225336782616,1.01707584629058,1.22818777215585,1.35960804572473,1.48806027058783,1.74796106015269,531.417210387828,1.00537687752768
"delta",1.37755730951659,0.00812175448889326,0.187647845475294,1.02689699067729,1.23911324464551,1.36978368213556,1.49985353757863,1.76018000872598,533.81091581151,1.00532436286271
"rho_inc",0.269826223751673,0.00999173876791067,0.211327736254674,0.0131996045351247,0.0912506362042913,0.223775449852394,0.399786024675749,0.77383862773579,447.332920024381,1.0047581095232
"delta_inc",0.588202654374196,0.0123358811964702,0.319886975064703,0.10302525351352,0.340674639663756,0.552116302818061,0.794439930745233,1.3160792894413,672.438789957986,1.00467057792244
"Beta",5.86200955231137,0.0287441791120267,0.740685146105746,4.50263341584119,5.33278545060303,5.83716127000643,6.3660034277694,7.37600063969353,663.999037391871,1.00197504703062
"sigma1",0.675422927783608,0.00408013599916493,0.114412925834702,0.497829206888052,0.593350272199172,0.662267449745243,0.738358460603692,0.933404510255753,786.322866157707,1.00099740075523
"sigma2",0.198133009069383,0.00100360187487996,0.0308072401758478,0.148604813556958,0.176559546498356,0.194488721015752,0.214876374547946,0.273925381727078,942.285831174532,1.00287466416984
"sigma3",0.166311429483543,0.0010254441039938,0.0293805841843824,0.122762304705366,0.14551377794436,0.162075751810561,0.183388942664416,0.23250749136504,820.912500218969,1.00462796820852
"sigma4",0.237635494961861,0.00130651662602972,0.0341381397194285,0.181024899595491,0.213077326702179,0.23373620452846,0.25757346600616,0.312301741653807,682.731312591985,1.00695599243265
