"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",16.9274590809814,0.014937018936323,0.243481454022795,16.4381280941043,16.8034606571038,16.9440505262803,17.0831465679817,17.3707657207346,265.707559266298,1.00519421604658
"kappaF_0",0.220884427090012,0.00723322107876905,0.126216911268697,0.0125755200893814,0.124109118957449,0.210862863447193,0.307470235492518,0.489813050862827,304.489006880413,0.999383129443223
"kappaS_0",0.23527841988337,0.00571802245401291,0.129872801159422,0.0279695228807566,0.128546567644147,0.2195080015595,0.337593150824199,0.494577570193416,515.875262074838,0.997539519111504
"psi",0.9050235473622,0.00321626775958009,0.054098231025156,0.787982439884874,0.871018182997989,0.908430333026167,0.946806215085691,0.989238965858645,282.918752079987,1.00660557307226
"f_fast",0.0555889652968276,0.00363791810035245,0.0464789372559387,0.000831724575805265,0.0172072529352365,0.0484956239577008,0.0776739821024894,0.167847599316476,163.232466614624,1.00498115404502
"rhoFast",0.432026857582324,0.0164179975235895,0.27496704315598,0.0463529054181927,0.208016396470142,0.385785303962038,0.616769589147132,1.03059288319631,280.492281780281,1.01084302915344
"rhoSlow",0.00191622581207391,9.4931462085335e-05,0.00126305331967872,9.98529354916281e-05,0.000946014435139794,0.00177256272019471,0.00266456665701977,0.00488718951707381,177.020282659654,1.04364710146373
"lambdaFast",0.376858757948432,0.0278542753476941,0.211344759071098,0.0750803947825935,0.196401174977185,0.353899300000069,0.515373620662509,0.813504285686473,57.5703986155396,1.05835063479386
"lambdaSlow",0.0201586283071308,6.93289018313749e-05,0.00151058166982865,0.0171429465930162,0.0191760840118036,0.0201722810439211,0.0211760443206468,0.0230441709970501,474.744321547248,1.00308232889222
"deltaYFP",0.303512777584845,0.00239351865945176,0.0301655952817968,0.243059410761178,0.282004228688681,0.306335782422163,0.325601001333756,0.360659521700718,158.836447440028,1.00101801312733
"Beta",4.35859303187264,0.0417065302621337,0.45183523653559,3.48156115801228,4.05720316580575,4.36147925919229,4.6260326661656,5.29905255820961,117.368639884145,1.04039140180004
"sigma1",0.316978065758955,0.00354910612095859,0.0384699744057231,0.255507424004523,0.28838075185725,0.313055255812557,0.342863763364555,0.393483412922757,117.491331122555,1.02119727199333
"sigma2",0.0726167221601612,0.000614882138711813,0.00830468694723808,0.0577326763713532,0.0666707131596277,0.0722341302386609,0.0783423558401828,0.0905814896762866,182.415936238031,1.01605353382149
"sigma3",0.533105849780254,0.00407260364047504,0.0666707617923048,0.423366455974579,0.489538434431825,0.527713735854155,0.568818787833191,0.683311674278749,267.994909438766,0.997134719159277
"sigma4",0.524414392620876,0.0046996517530682,0.0588799026494424,0.42263860602582,0.479776242957824,0.523978376638974,0.558120767809648,0.647695103476754,156.964995255995,1.01949313032654
