"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",12.3127750301009,0.028110501056253,0.361796642940136,11.5991663429225,12.0791236305047,12.3243465540358,12.5475768190854,12.997637787099,165.65017233346,1.00408397437472
"kappaF_0",0.899255137915004,0.00902356859912129,0.0456932876573266,0.817153090030313,0.867338895122181,0.895837959163301,0.931386166433157,0.997685528882128,25.6417797355103,1.04746756407382
"kappaS_0",0.898296537446605,0.00442173718280646,0.0430498561125024,0.806917608908774,0.867737732311584,0.900512151474578,0.929434628926975,0.971971694444457,94.7889161095726,1.00469098626315
"psi",3.97348959202393e-05,2.68899183745634e-06,2.9386277858599e-05,1.33714217302294e-05,2.23934273876347e-05,3.20433448323665e-05,4.71498516105007e-05,0.00010757077411854,119.429109364468,1.00225073981629
"f_fast",0.214674521838709,0.013846335462491,0.16546352080028,0.00824525552334335,0.0828353139738449,0.17681196996005,0.315928626413351,0.619409211687953,142.802175536138,1.00642644135633
"rhoFast",1.25166404487847,0.0316706389081202,0.414479228602445,0.479585949482552,0.935191543435171,1.24274125566075,1.51187327058511,2.05526447968187,171.274178282629,1.00959698124575
"rhoSlow",2.169279872685,0.0213519359630777,0.296281253893264,1.64129127291314,1.96186616635844,2.15990209577628,2.33211842732731,2.80579391407112,192.545703154902,1.0021262038045
"lambdaFast",0.43065097327712,0.141699841982245,0.266339061438507,0.05553058870905,0.219615902230585,0.400693723823465,0.585422471198503,1.01155925220391,3.53289718001725,1.14415637167246
"lambdaSlow",0.0129479380633327,0.000248283764797081,0.00486765154694776,0.00530746116007464,0.00939870543294189,0.0124208594837624,0.0157604005083002,0.0246916031493676,384.363658790924,1.01308787557756
"r_psi",0.00346096682996553,0.000147350961104483,0.00205034709618345,-0.00104375593490431,0.00227439551575042,0.00356825059699193,0.00480186773356107,0.00700107158705556,193.619381813976,0.997795013224085
"Beta",5.1592503884805,0.0898530306445051,0.748389316829702,3.75446619077592,4.65801819602136,5.11849066256943,5.68467993304599,6.59154770796117,69.372875892082,1.05776052178316
"sigma1",1.01854064502207,0.0115777901978857,0.142822416922516,0.798826029306008,0.912819595758761,0.998922788443161,1.11402576616159,1.32230682759754,152.174332534163,1.01441800363161
"sigma2",0.168244462287093,0.00328824932675547,0.0282956658120513,0.129481931784134,0.147510300719274,0.163235713611385,0.182906572555399,0.246902092701383,74.0474923275926,1.03572868970862
"sigma3",0.163626294243092,0.00365807095080124,0.0275059818646314,0.122958700290816,0.14450406035984,0.157997714738185,0.177855150480469,0.231201021079144,56.5392515726641,1.02133897687471
"sigma4",0.151069561024483,0.00217179420370024,0.0270541821989884,0.113058683463968,0.131153259246056,0.147122977259623,0.168930261513531,0.204018079275187,155.17847572021,1.01460543920541
