"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",12.4467988592631,0.0234842089515104,0.494150732513896,11.4883345798052,12.1004621371773,12.4684519199621,12.7910236353728,13.3392694148995,442.75860987745,0.997006784624483
"kappaF_0",0.898090016345702,0.00221439348747239,0.0470696585162938,0.805294122385862,0.864866381006332,0.902764503972264,0.931442973632536,0.982389885820711,451.827337543433,0.997070524844885
"kappaS_0",0.892671669616166,0.00159034886518007,0.0389554323270544,0.813690391894893,0.867290199121546,0.891550540482884,0.920041305154549,0.966081077431992,600,1.00355895570959
"psi",0.00169532707453968,3.40650663872232e-05,0.000575513443969582,0.000851556589585004,0.00129834414528548,0.00161552358615052,0.00197322637224226,0.00309430251046232,285.425300579899,1.01339819963507
"f_fast",0.180930112391853,0.00783740075272608,0.166335229777031,0.00816232570537238,0.0551978413142054,0.131128166343652,0.267282721066181,0.598379885441505,450.42695933755,0.997654860098397
"rhoFast",0.918218902059288,0.0177735711560043,0.346147895678378,0.302170438473522,0.680909036399352,0.888689419210519,1.12161215645467,1.7352287723984,379.292274584191,1.00252683947274
"rhoSlow",1.66240065128972,0.0102497510075543,0.251066599590859,1.1708986551986,1.4822603684977,1.67184387201508,1.81958862346255,2.1602897414799,600,1.00205940645727
"deltaYFP",0.26535833487092,0.00300232920317199,0.0482533270393131,0.176520467508387,0.233356883182172,0.261696718759771,0.295718205994613,0.362030729827227,258.308028635062,1.01487835826963
"lambdaFast",0.0572040330517887,0.000665735759132799,0.0128915284980505,0.0320344387496268,0.0485079828678706,0.0561427002776283,0.0648559706626075,0.0847274073873159,374.977367414976,1.00305558825537
"lambdaSlow",0.00821085910772114,0.000220445567772696,0.00356690639107961,0.00201131538902752,0.00583407938837987,0.00775288893138513,0.0101312184819139,0.0160578721510387,261.806654516379,1.01717268692255
"Beta",5.80955542138689,0.0344833922755217,0.720901048422029,4.4317698187058,5.32363297494251,5.80958401383095,6.28095991642426,7.25168881111534,437.050225870184,1.0016947538209
"sigma1",1.11731659050238,0.00744342420241125,0.175768678311849,0.811190746749849,0.993481870349599,1.09535188106581,1.22221460764099,1.48705556992421,557.618833625521,0.998797986156718
"sigma2",0.181010253066158,0.00136590449623058,0.0330596558578929,0.126866131659258,0.157481897474361,0.175995623486353,0.199788815627239,0.257814338510676,585.808929683479,1.00094156444859
"sigma3",0.155001175975525,0.00140190722145815,0.0291230102709285,0.108566473743216,0.133319679582445,0.152694444549601,0.17061884937348,0.22115807701634,431.552841998078,0.998655785389645
"sigma4",0.15581503565437,0.00119988523332474,0.0279812322153336,0.112246099981909,0.135469192309957,0.151920836648454,0.17152332440153,0.217139606476575,543.818846249856,1.00126550444479
