"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",10.9038626251532,0.00633427100297234,0.0248688079618554,10.8641916012246,10.8963124001605,10.9006909063581,10.9029399540639,10.9743835409622,15.414046229198,1.01287511261294
"kappaF_0",0.903063289258224,0.00421742086880489,0.0053104981969465,0.889912050249061,0.901195063149654,0.905989660778855,0.906659955017238,0.907313890604614,1.5855379670801,1.47897128747812
"kappaS_0",0.90487955877995,0.0021835747853469,0.00318325358931123,0.899929716153323,0.903048012491445,0.903221567193591,0.907504404883619,0.91195071475351,2.12523193630983,1.37196506806877
"psi",0.00158574167290987,0.000577612635132018,0.000578327037381453,0.000948637155154128,0.00101747240095501,0.00161162347452898,0.00215979098716787,0.00217708791000434,1.00247516760914,32.1605165860719
"f_fast",0.812564255761722,0.0287463762621907,0.0288099379383904,0.783242149999407,0.783924851157574,0.809431931567761,0.841194899626209,0.848653615143007,1.00442712826505,15.687559216289
"rhoFast",1.31932810086264,0.306638393287669,0.308333570220532,1.00977588822972,1.01227645810976,1.25799204776873,1.62480713294615,1.72112989289396,1.0110870827656,8.65571162388909
"rhoSlow",1.02370209097065,0.068568620549713,0.0692081083587612,0.952204318478928,0.95605335908439,1.00549633701448,1.0915997727376,1.12195975871109,1.01873947044997,8.29971389037138
"lambdaFast",0.0797590965499078,0.00163742365681282,0.00246473509212048,0.0727461005550892,0.0790367622887319,0.0807270879486013,0.0813992206385304,0.0818386887395024,2.26578332216292,1.23472604414448
"lambdaSlow",0.0319757205224077,0.00154009280666396,0.00230745256175919,0.0248109684959862,0.0315375641779244,0.0329066579444197,0.033456000385646,0.0337935450089432,2.24476962823687,1.23989910284909
"Beta",4.50802195484735,0.735983635698265,0.737034490975732,3.67445678458943,3.77736115339508,4.53865273580652,5.24141441242591,5.27167633346209,1.00285768716797,24.9562818480938
"sigma1",1.25058681413035,0.561525411932684,0.575764051924797,0.694103614399419,0.70298849630233,1.06636309507658,1.76312466998484,2.38240277568349,1.05135712397524,5.32110857877322
"sigma2",0.889398871378092,0.738490877067723,0.739118732024657,0.136980630103638,0.151726469562443,0.892022438697399,1.62854719179431,1.63179142825197,1.00170109577068,225.678047781641
"sigma3",0.699819738317671,0.223548011035768,0.224707922298488,0.39996901030977,0.486766654421445,0.733661747595069,0.922149253326413,0.926785175803216,1.01040421197398,14.1948162351806
"sigma4",2.4197168659849,1.83258068665466,1.83427489442813,0.520729859513015,0.58390331747608,2.42811180712513,4.25297606164291,4.28719388781351,1.00184984042157,117.077206597581
