"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",10.1845489059491,0.0302565280741553,0.855621289146578,8.50958451449412,9.60671300501346,10.2034702858319,10.7909918830349,11.7598217310387,799.696105560801,1.00115261427433
"alpha",0.549746247909339,0.0410429827510739,0.235458241073194,0.104407135712735,0.37091907520361,0.556789625180336,0.740600351253076,0.94837434542489,32.9116730968083,1.0549310666787
"kappaF_0",0.897541264169522,0.0015026838456368,0.0464193219516706,0.805777399174666,0.865231417270987,0.900339464606761,0.931933395475569,0.982975961624019,954.250397627923,1.00099695423422
"kappaS_0",0.897521636143151,0.00186530836545334,0.0470362562879868,0.801968352491616,0.867315211028337,0.897187644924646,0.930256197777209,0.984298305313637,635.863974407854,1.00565398628357
"psi",0.00345216291081703,6.19448652543309e-05,0.00140159787564672,0.0016319729799815,0.00250632841388132,0.00319403519776584,0.004021178873995,0.00668209006508947,511.96024236779,1.00665341175592
"f_fast",0.419441744011798,0.0580319478725929,0.215746968743805,0.0580565356518787,0.248846224315586,0.412058231656073,0.569687820924158,0.85179816287257,13.8214977974796,1.13293953838031
"rhoFast",0.556806453865866,0.182862629005383,0.40407943210826,0.0465183384361361,0.240272754343607,0.432698095934242,0.826666764623464,1.39267236339493,4.88296455387741,1.61450504129827
"deltaFast",0.956261082119133,0.079131729091516,0.301831680953183,0.396010784108336,0.725557114191733,0.960282746080175,1.18057490872273,1.51422473876648,14.5488388601289,1.11768455312974
"rhoSlow",1.02758883012752,0.174654012517935,0.389115165330592,0.0922841370439731,0.937539554192257,1.12592459518044,1.27427368782363,1.59517555745857,4.96362746929394,1.65621193524028
"deltaSlow",1.14574712121689,0.0722518148316154,0.262907425877656,0.497661591439207,1.01804067468849,1.16593011298865,1.30912693717593,1.6211060931344,13.2406158502802,1.15191196384172
"Beta",5.42538462680951,0.0272844630737064,0.729827270637797,4.05948521186141,4.9206450920264,5.40928118417319,5.89126547020099,6.91719563711957,715.4995264525,1.00652442654258
"sigma1",0.697982369640511,0.00367521084118994,0.110812897403672,0.53085300323333,0.62057967115587,0.681415474557024,0.763333297905691,0.978435664870047,909.109305165718,1.0042725034236
"sigma2",0.19812664376331,0.00102002970339755,0.0330708593667409,0.147407632327301,0.173986269589689,0.193749762144308,0.216311642553973,0.270426163075429,1051.15152236963,0.999275723814991
"sigma3",0.254122959196144,0.00127822025487199,0.0404570955849302,0.184222247393715,0.225059805350701,0.249992589992354,0.279329578949786,0.342192026468654,1001.79304620774,1.0012279438306
"sigma4",0.247641054777142,0.00109385762189709,0.0376024548676516,0.187727832982923,0.221883426610436,0.241702955728746,0.269752084999539,0.330797338007607,1181.70970643706,1.00413088233857
