"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",16.8278233229821,0.0101870449196103,0.204649541695067,16.4143281461405,16.7001357914758,16.8408836718139,16.9637792846244,17.1889799218076,403.575794523165,0.99912876316386
"kappa_0",0.228028184591139,0.00510932365505658,0.125152358856205,0.0189619146121554,0.13366318517122,0.218295239066295,0.315032097218356,0.476477087316694,600,1.00463473009239
"psi",0.952187290413106,0.00141958928786429,0.0347726939958845,0.873871557820648,0.932361931368358,0.958069295617697,0.979093951567259,0.998406380457453,600,1.00153596819588
"rho",0.00162674003512767,8.05916227497364e-05,0.00137831125923429,4.16885959458294e-05,0.000600498806127819,0.001297776963696,0.00218222478174614,0.00532406175689922,292.492548514856,1.00295278214434
"deltaYFP",0.373564328442539,0.000913221976518162,0.0175648759351166,0.339311468187064,0.360920438597859,0.373294084797141,0.385426659646813,0.408232852474504,369.945258042011,1.00258465011133
"Beta",4.19835952584903,0.0282066582603069,0.445064929826369,3.18082288379243,3.92454929544542,4.21391083953906,4.51628650409962,4.97603614106356,248.967967919653,1.00570987322996
"sigma1",0.325604263164831,0.00151401120331444,0.0370855491297754,0.265669944939677,0.298307979142856,0.322614210682832,0.347877299624898,0.407228059059867,600,1.00514967138339
"sigma2",0.0702685745557688,0.000353366420535176,0.00830657763245325,0.0569639781055727,0.0646356355506673,0.0692245273100282,0.0750823851639262,0.0883127468465398,552.578142282734,1.00293401839288
"sigma3",0.531671597098896,0.00255185402781219,0.0625074026620591,0.42835347933225,0.484535135404471,0.527347728072232,0.572794938452993,0.659911082593184,600,0.99710408923296
"sigma4",0.529108847451936,0.00262899032185943,0.0575982334916705,0.425663228285193,0.487167737473222,0.525458913033253,0.564967955246708,0.649028054636613,479.999023002586,0.998933500607683
