"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",10.8268362177098,0.101365877590946,1.71735800962111,6.41480653709208,9.95526182652307,11.3620410045786,12.058490595347,13.0829910079025,287.037150809124,1.00506324476616
"kappa_0",0.892828117612505,0.00190685789587129,0.0467082885688185,0.802050048094566,0.860710773742807,0.895719873339075,0.926470645107598,0.973112868085992,600,0.996906317936877
"psi",0.000134087963994127,1.91459904528172e-06,3.88754533319307e-05,7.92402589486735e-05,0.00010702057980333,0.000127289425516763,0.000152770018865184,0.000236758462730133,412.282837931075,1.00249772217344
"rho",2.21603550594882,0.0125456105094266,0.307303442597932,1.67592612991965,2.00904227440531,2.20581423271683,2.40359685325148,2.86329280401346,600,0.996942746633503
"deltaYFP",0.270094681548791,0.00266324074840473,0.0652358089577957,0.125005589459608,0.227162541287175,0.270736059892418,0.314780796870149,0.388372395279736,600,1.00074242848899
"Beta",5.16681807498655,0.0320036382656644,0.783925836634883,3.78402869614626,4.6249095965757,5.1228725382797,5.69397408517312,6.77852519822839,600,0.997007735257476
"sigma1",1.10182666596942,0.00720849479303641,0.15740998543601,0.821319240475159,0.989737060062843,1.09507299996651,1.1998480353625,1.42760227389926,476.842964510376,0.999409755287931
"sigma2",0.187048910713243,0.00131222654723778,0.0321428546766674,0.134263149870661,0.165545063009909,0.18327433744707,0.204471250491087,0.264242826227766,600,1.00662181788598
"sigma3",0.158587202417042,0.00108970257087613,0.0266921527004555,0.114884788074882,0.140103750461398,0.155818456588915,0.174505026173569,0.213293864234408,600,0.999487065189454
"sigma4",0.148585489839442,0.00101540101205885,0.0248721436384981,0.112082217160842,0.130677431417759,0.144909446973101,0.161559068099215,0.205227636305307,600,0.998865186362149
