"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.3576742851981,0.0184936899819715,0.546941048574675,10.2408202534064,11.0099506642086,11.3858522508171,11.7051067509821,12.4243903377503,874.649176676007,1.00036501998625
"kappa_0",0.896799940525258,0.00109271293896277,0.0463598837418514,0.803481164622329,0.864205549918107,0.899350628436388,0.929944680214665,0.980009581690381,1800,0.999079428219849
"psi",0.00158408741197227,1.52005667135901e-05,0.000479175321384098,0.000873741452335047,0.00124998844159366,0.00151560467828821,0.00184712704206505,0.00268031081618801,993.732116494737,1.00135996762289
"rho",1.28472620887169,0.00745033901193895,0.186958561430642,0.946296805322821,1.15718832497983,1.27683328468399,1.40238974385232,1.66731914123031,629.707180647441,1.01202891035994
"delta",1.29392733156088,0.00744521140909501,0.186957950644476,0.955792937229044,1.16507970497919,1.28565769590269,1.41221405976949,1.67754581464768,630.570732388614,1.01201827537814
"Beta",5.7275005876115,0.0228465354504407,0.746237772999372,4.35773582612465,5.18962592543627,5.70256213393315,6.23325228405123,7.23038054100418,1066.87553085188,1.0044162528546
"sigma1",1.11471141765269,0.00491769016585337,0.180355046227211,0.830599099907018,0.986728647798084,1.09695742847053,1.21891972302271,1.52982529252864,1345.03712076437,1.00010111469969
"sigma2",0.182338124294928,0.000940511704424348,0.0317527659890797,0.130805279759458,0.160118415668581,0.17779571505117,0.200894488121606,0.258600259229576,1139.8159140736,1.00285773176114
"sigma3",0.301867944872623,0.001439378233767,0.0497293519253721,0.223511999065679,0.266170297728889,0.295735884087279,0.332672833462305,0.411909095034172,1193.64652221961,1.00246322076949
"sigma4",0.16846576495546,0.000963466767362421,0.0313468776218928,0.120522464692,0.146324634329114,0.163814616382197,0.186781515896313,0.241739150935096,1058.55907176228,1.00153158480252
