"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",9.65363128388485,0.0763199975943436,1.67700343666329,6.05384555049284,8.56208404290246,9.85359995560792,10.896761451775,12.3196456061945,482.82662317807,1.00188339290816
"kappa_0",0.899800495532723,0.00221401970370882,0.0476585221371767,0.800952784206142,0.868868646615519,0.901013248968663,0.93750205708366,0.980770949408426,463.359614498385,0.997886175847496
"psi",0.000130239701505404,1.39186265221729e-06,3.40935328996924e-05,7.25616247794464e-05,0.000105444794068849,0.000128350042746916,0.000149485219853945,0.000209681125720507,600,0.997973417225555
"rho",1.84705238666736,0.0176502616083028,0.300824332910283,1.34444660864465,1.63384631537988,1.81471523922151,2.01940418969761,2.51389960754953,290.484946315183,1.01116268800916
"lambda",0.0593197292371744,0.000161433124283649,0.00395428782078241,0.0521327418673199,0.0566691282253387,0.0593125895383017,0.0618656686306085,0.0673067480753178,600,0.998096460859983
"Beta",4.54498829066455,0.0417392956252273,0.771672987185421,3.04422231331718,4.03450723390354,4.49062914168083,5.01544341727529,6.36946541048547,341.803388623599,1.00160683625489
"r_psi",0.0025241371014769,4.74343215702967e-05,0.00116189884142321,0.000200501350943719,0.00174346943608771,0.00248241231482785,0.0032612159744238,0.00478852208557285,600,0.997416218101546
"sigma1",0.676366407379728,0.00418732476308218,0.0960993521839569,0.514504819752888,0.607400167425977,0.666846314825666,0.73579106215678,0.881036299242598,526.705228043435,0.997042558795256
"sigma2",0.193769193789968,0.0015143104747398,0.031090835463084,0.145207086671319,0.17188278373835,0.189517134496212,0.210630845640047,0.264543771921564,421.536254118005,1.0029922897943
"sigma3",0.254115640855882,0.00180158965639161,0.0392193584433949,0.191792902555809,0.226187520348268,0.249581148658543,0.277440351711626,0.338322400723403,473.902730290312,1.00078333396639
"sigma4",0.2477320208308,0.00198809255903979,0.0373383226044013,0.186255972489238,0.218813563000958,0.245365506972436,0.27169512105519,0.328292256475764,352.725134468547,0.997558563934454
