"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",9.86938833213858,0.0256728998193551,0.734744301762863,8.32344963441277,9.38838420334594,9.87051250993006,10.3511674500393,11.3186738229518,819.072983021349,1.00710690448098
"kappa_0",0.89946699966087,0.00344462393131839,0.0493048385541739,0.805905073771204,0.865635980685736,0.897147888825085,0.936087808120162,0.990825937194939,204.878060008025,1.02769555308062
"psi",0.0025441779075893,4.46171973649133e-05,0.000919874560419054,0.00133730415270087,0.00192244740478292,0.00236227847684062,0.00292433590264501,0.00495556653312063,425.06235468136,1.00606762067791
"rho",1.35327153103396,0.00934276437684657,0.177341258079428,1.03216446393939,1.23156299920331,1.34598044985038,1.4715851858014,1.73559395689166,360.303746376359,1.01033752298388
"delta",1.37844809548579,0.00934629034112705,0.177828569374545,1.05681706098434,1.25504214997528,1.36762883862583,1.49819196536173,1.76260416542197,362.013305404274,1.01018608155725
"Beta",5.88065822751382,0.0298447849160606,0.696293907011888,4.62869175663187,5.41905711976514,5.83702845982441,6.32776955661703,7.28562807594641,544.312468720389,1.00176217643927
"sigma1",0.723649385671472,0.00638722204510758,0.121404459930209,0.532762455692754,0.637033009102809,0.708372101276679,0.797561788254602,0.994756995102083,361.281109717383,1.01167539688893
"sigma2",0.197632564898874,0.00112931953655698,0.0313378930793763,0.146528785989219,0.175190053097497,0.194308782846457,0.215207033139142,0.267613440852641,770.026916740437,1.00557777308444
"sigma3",0.172880448262464,0.00150511327622143,0.0328961451571918,0.119949838279282,0.150263201409084,0.16917821225927,0.192698508178856,0.245309850733376,477.696044921606,1.00703322837677
"sigma4",0.240831343249519,0.00124752868840363,0.0358910831603179,0.179707655551265,0.21515591864696,0.236773258045327,0.262418245120129,0.320813492798478,827.698269556343,1.01137317816498
