"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",16.9467101579053,0.0133780876779928,0.263340703216427,16.4212416906356,16.7868031149877,16.9430680437894,17.1037326567973,17.458120362511,387.478764290592,0.997140745588649
"kappa_0",0.241485005049028,0.00579350575775569,0.126883695455694,0.0286259533491611,0.152009185612534,0.235252622254826,0.316531618582249,0.514334879674807,479.654752532193,0.999342940918132
"psi",0.882589999806493,0.00340609237615056,0.067469283119637,0.757237420031713,0.833303327333993,0.882348446575867,0.931313461427076,1.01895043700034,392.373209489124,0.999046126797902
"rho",0.0036295623752486,0.00011066686577609,0.00184561398994222,0.000600394995804055,0.00237165786583508,0.00344608301740863,0.00480850722461261,0.00758885184687952,278.129161393944,1.00606270682208
"delta0",0.0301318549958396,0.000188401463096614,0.00329463191185681,0.0244817881737104,0.0277807369839712,0.0299507339802941,0.0322694486282232,0.0370226634286058,305.805476811099,0.997762537273354
"r_d",0.000817564673585864,1.54959780859561e-05,0.000337387002434587,0.000130872152475935,0.000569127261942953,0.00083117469070499,0.00102123234107904,0.00151059438469209,474.044059279919,1.00357633862121
"Beta",6.01976142942062,0.0422102598560314,0.686662909325693,4.64416806200806,5.57611065655681,6.05214380243278,6.47958123207954,7.33306126016337,264.637342649099,1.0106914553748
"sigma1",0.302955270127796,0.00157909648437384,0.0386798064133869,0.240786506484808,0.274040014161302,0.298686476166183,0.326110447287436,0.384297639763579,600,1.00242188313824
"sigma2",0.0711204691182381,0.000392346604768407,0.00852583968661457,0.0559357809870165,0.0653374671201633,0.0706785363392099,0.0760365975136522,0.0893565510825987,472.209290136928,0.998594338017004
"sigma3",0.768642250045884,0.00356000813519371,0.0872020341138167,0.620705720359632,0.706814245217592,0.756627771051173,0.825243388442578,0.957125591659559,600,1.00162312921066
"sigma4",0.554995254469059,0.0026194228836971,0.0641624948562759,0.450358102990401,0.506924974956318,0.549468841136352,0.597218712422563,0.684324031808092,600,0.997217252281533
