"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",12.3933401990679,0.0119924382563845,0.415430247333813,11.5783367093112,12.1370067967488,12.4008329725128,12.6675594606621,13.1852488212108,1200,1.00337201378605
"kappa_0",0.897056510223116,0.00184876063612821,0.0481963941044268,0.803607062925149,0.862744345250584,0.898605186891483,0.931737128562871,0.98627007168816,679.622459894709,1.0109219673791
"psi",4.79445850428578e-05,5.74724830780176e-07,1.55086345372331e-05,2.40356655393871e-05,3.73873155501536e-05,4.54831973857382e-05,5.64840003685575e-05,8.52837734651136e-05,728.160642963946,1.00593151521484
"rho",1.87735810305661,0.00919552140704272,0.299706243792639,1.35856573173616,1.65358937021921,1.86520072052943,2.07842092794158,2.53014878094951,1062.27965022983,1.00035277572871
"lambda0",0.0325068648692733,0.000110756512523751,0.00383671813920552,0.0250834939550063,0.0298898324028849,0.0324528407175383,0.0352429292542105,0.0399504525811317,1200,1.00061111696951
"r_d",4.4629623478885e-05,5.53417845664962e-07,1.34473013528116e-05,2.11385546139217e-05,3.55090290569391e-05,4.40336980294842e-05,5.28590812329323e-05,7.22936700497386e-05,590.423936709123,1.00280000865982
"Beta",5.00521783277356,0.0224734685215029,0.756066164695986,3.64222611888033,4.46040988088581,4.99411145336205,5.51206151005011,6.5232811210056,1131.82529108375,1.00087452499322
"sigma1",1.05962001290448,0.00477342324037662,0.165356231567247,0.784725255811031,0.936758387208437,1.04313464670297,1.16286130798595,1.42058691431741,1200,0.999629858383938
"sigma2",0.173586953341041,0.00101610894418142,0.0300171380965284,0.128624104187545,0.15230184102808,0.16934466070683,0.187688356812552,0.24718776547814,872.686018439635,1.00437251279718
"sigma3",0.289777969183122,0.00145570679202388,0.0481695207456459,0.215893867910223,0.256082306380603,0.283961078160898,0.31663559697673,0.401907415302709,1094.95641953428,0.99893610635016
"sigma4",0.15382895994051,0.000765787153069229,0.0258421413862704,0.114033250282717,0.134616438678128,0.150269245507654,0.169115857021216,0.212170306695916,1138.78265546652,1.0023739018288
