"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.3438937479083,0.434449781694413,1.36021844858566,7.51215895768667,10.9805907374818,11.7160246001201,12.1605110953966,13.1297094274705,9.8025294350203,1.28351804885456
"kappa_0",0.230747159251464,0.00342016687528712,0.120371035414768,0.0241955931705043,0.144425785404355,0.227719250987029,0.294492604758805,0.510324638706126,1238.65226063071,1.00212135898335
"psi",0.0230524686763571,0.0191459168558094,0.0484615756459642,0.000805244385974675,0.00114723113234667,0.00160951642879126,0.00922117473217507,0.165898203448483,6.40682296445919,1.60697451079531
"rho",1.88676587085209,0.0610622316260775,0.333027535535322,1.23208276693062,1.67386134291368,1.92602976565303,2.06288554538914,2.57245584488904,29.745066379802,1.08243889556352
"delta0",2.13101431614609,0.14335466051527,0.474723541631785,1.45040320041586,1.83434575870931,2.00599637780657,2.35651885139576,3.35566368948995,10.9662440015904,1.26486971190781
"r_d",0.000150659226175091,0.00010868528723751,0.000286057124387121,4.60776298513386e-06,2.18462036629002e-05,3.81615847335491e-05,6.10272274371247e-05,0.00105622771782254,6.92730041677475,1.55077503126145
"Beta",5.05036306834557,0.0902136831018068,0.70959898973331,3.775723605849,4.64424954803852,4.90979814945779,5.50996687244344,6.67191214586723,61.8701471996718,1.04589201030965
"sigma1",1.04049580063716,0.00462662850747682,0.155431285742523,0.787625773263951,0.934083819413432,1.03870627422067,1.11106759583175,1.41244250942718,1128.61968328184,1.00456218811545
"sigma2",0.35164619094997,0.0737696121603302,0.156650181885649,0.204941072276265,0.251415104898439,0.272609707295927,0.410333687462925,0.72601354211174,4.50927588086088,2.90720855934771
"sigma3",0.288658602753041,0.00129290500023335,0.040408405800079,0.220042243255009,0.261174317029441,0.288182762538802,0.308648928783392,0.381949295301583,976.810239962102,1.00500581913674
"sigma4",0.151857987519554,0.00436156273182952,0.024173707986555,0.111668249670947,0.134205374795942,0.149398610685554,0.171561776517437,0.204621540275416,30.718662093353,1.07313185410803
