"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",9.49446881461214,0.0155339400308872,1.55427192540657,6.10635831804201,8.46971844044887,9.6694521636378,10.6783900177506,11.9869845459753,10011.3064734527,0.999847009427597
"kappa_0",0.897732478654025,0.000432961242187289,0.0474285277742871,0.801482233276856,0.865414650953887,0.89895029910071,0.931492427539858,0.986071570350105,12000,1.00031162170326
"psi",0.00372411485009063,6.75955879598569e-06,0.000740472566268765,0.00254217508345948,0.00321456576449004,0.00363376117771635,0.0041260698280003,0.0054121851327324,12000,1.0001397269296
"rho",2.14327860329467,0.00290395848350434,0.318112713494764,1.55627293040782,1.92259627264254,2.13327607301846,2.35049445691813,2.80209129551154,12000,0.999996930216432
"lambda0",0.0665237894064223,2.40743839635007e-05,0.00263721663096999,0.0613804127388687,0.0647291677667764,0.0665153503968136,0.0682810823539242,0.0716989486250676,12000,0.999771383949695
"Beta",5.19394025037728,0.00671620091193843,0.73572294804109,3.82726098699198,4.68264135127476,5.17260847890033,5.6763380286718,6.67525732498715,12000,1.00032732273962
"sigma1",0.698124979078821,0.00101803728186516,0.111520396731758,0.517204749603397,0.61902704445482,0.683933345290075,0.762942208684432,0.955451402407555,12000,0.999964684121614
"sigma2",0.182998444019581,0.000256705472380238,0.0281206755715352,0.13797124155832,0.163103452797847,0.179677560570017,0.199131274320874,0.248421182788958,12000,0.999659604667403
"sigma3",0.131884223869626,0.000208342970841013,0.0228228289654527,0.0960740432166807,0.115713093345637,0.12878315768426,0.144533235509271,0.18544026652361,12000,0.999647825792201
"sigma4",0.248988056429184,0.000349016443001296,0.0382328357544052,0.187699297472046,0.221469177617495,0.244467657048775,0.271470048486527,0.336944187702156,12000,0.999961208476896
