"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",16.941042794138,0.00294865907654551,0.244030270335403,16.4293334118093,16.7827380360842,16.951004500913,17.1108712582883,17.3942870223551,6849.17522791217,1.00042883395864
"kappa_0",0.227280587547626,0.00116872733987954,0.128027665525007,0.0179958377089751,0.130256526481194,0.216972220498452,0.311582717059956,0.504910299571108,12000,0.999980269879624
"psi",0.875057364579368,0.00069490984888659,0.064610208002457,0.752262892627514,0.8301845362718,0.873343706015874,0.918079386648827,1.00541539625611,8644.60879706907,1.00028435555051
"rho",0.00204216627211878,1.7191522326388e-05,0.00138966101491408,0.000114990823860909,0.000979308940443678,0.0018211973091346,0.00282880741441694,0.00535265372871531,6534.14965422914,1.00097667505769
"r_d",0.00103619945010259,3.65709089109872e-06,0.000374916033706184,0.000316747608417425,0.00078421310591628,0.00102883836805812,0.00127943640011701,0.0017915747774683,10509.8500440199,1.00064978650803
"deltaYFP",0.336964617834362,0.00046180755567904,0.038628140315699,0.263943133506693,0.310292758110083,0.336255519264473,0.362626183537879,0.413958270712822,6996.57561740621,1.00038078736509
"Beta",4.44793230566611,0.00547599224122127,0.467547507156119,3.5023657282968,4.14112562840681,4.45591999161826,4.77045288039339,5.34213188479754,7289.97171622975,1.00079310542175
"sigma1",0.301481142844355,0.000345125446524845,0.0357499469146847,0.240717778742383,0.276760390859788,0.298040817472277,0.322734029553764,0.38053671226633,10729.9287819887,0.999790328000926
"sigma2",0.0711957420419511,8.26098285128776e-05,0.00831444939951753,0.0571902775818845,0.0653436398484229,0.0704156260245908,0.0762326609699466,0.0895893574668907,10129.8624429889,0.99994007385338
"sigma3",0.515985115395553,0.000549482798014584,0.0601928246867285,0.413731734315186,0.473319890558619,0.510526674156135,0.551939757757194,0.650065435121364,12000,0.999692201526233
"sigma4",0.52141601158221,0.000583670208142622,0.0611358733443686,0.416877598004515,0.478429789257805,0.515584962317317,0.557559485264322,0.658843644189515,10971.2772042283,1.0004114510211
