"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",9.14712487599243,0.086135728202095,1.46419558624649,5.83919731042141,8.17019666866532,9.42733531738346,10.2616431018782,11.3447626914389,288.955874020963,1.0019058344734
"kappa_0",0.896082344032574,0.0024783173378404,0.0471678414496894,0.80218995109382,0.863885923750448,0.896298485120636,0.930524148354815,0.981008822334524,362.224793692621,1.00023419011238
"psi",0.00243568332875811,2.48155041810086e-05,0.000607853229533736,0.00144390554987037,0.0020100733718064,0.00235871733429216,0.00274927806030418,0.00392148534355671,600,0.999292224001746
"rho",2.14104399537652,0.0132721748943695,0.306018717633596,1.57792782251981,1.92585526967148,2.13689735257749,2.33716125580805,2.72906122194078,531.63282721031,1.00115631872613
"r_d",0.00439910863285925,5.96518618196867e-05,0.00144368771407588,0.00175839741084219,0.00338469651939338,0.00430007345838164,0.00533849559465217,0.00715850624544305,585.731411428053,0.99863391429831
"deltaYFP",0.108170798995061,0.00125434247725945,0.0289278068526613,0.055489794675863,0.0881304212386701,0.10727233576877,0.127838169144211,0.165544654652209,531.861751060561,1.00076474655803
"Beta",5.17525097101086,0.0296947607471583,0.697735796659257,3.85575108746731,4.66132285276621,5.1585722948203,5.69660385918796,6.55912940963764,552.105849221317,0.997914803016934
"sigma1",0.658397566582825,0.00385516729886016,0.0944319275527109,0.500846958241045,0.587625080169006,0.65199651392969,0.719047877689489,0.858641911686462,600,0.997800822462088
"sigma2",0.174527811784783,0.00108410058230261,0.0254143588278353,0.132422387719087,0.157117311527775,0.171315696365522,0.189527039924734,0.233331740923019,549.56511822745,0.996797312331374
"sigma3",0.130815135690969,0.000997556210907679,0.0198082742742767,0.0982184422173628,0.116270269583818,0.129555785672499,0.143235699577766,0.177058447064617,394.292510441047,1.00922166005658
"sigma4",0.250409812820931,0.00180740190544332,0.0379846126444941,0.189867545847005,0.223247629813947,0.247696387866523,0.271023144465449,0.338683184540455,441.67816755592,1.0002513690829
