"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",16.7084544609468,0.00492152512669377,0.334653124142017,15.9756404020259,16.532089247057,16.738270595827,16.9187872081825,17.2701690080433,4623.70751635944,0.999896092734874
"kappa_0",0.225296804311684,0.0013220970161865,0.127398335169177,0.0163490592541398,0.128888899258985,0.214769677701707,0.310209196434774,0.498516689062234,9285.40509029165,1.00012786014091
"psi",0.626714406289714,0.00102245516427435,0.0763530965054769,0.491015836397909,0.572909078029797,0.622272713071773,0.674682458220656,0.789876727408068,5576.53925301811,1.00000552746651
"rho",0.00636383042278847,4.05757519265629e-05,0.00259801796243702,0.0021224224321607,0.00455289760533505,0.00606471241059657,0.00780092416217525,0.012311382778202,4099.69119806893,1.00017112161199
"delta",0.0270817293346685,4.78372043678468e-05,0.00309455761481781,0.0218316624698072,0.0249313623051824,0.0267864701988112,0.0289027733322804,0.0340910409787811,4184.71189103344,1.00010768293135
"Beta",5.64462029215279,0.0120073418808653,0.80182966018316,4.05807800234075,5.11019115568907,5.64655966071561,6.17814360344698,7.20293169207277,4459.33892454036,0.999927672747051
"sigma1",0.310326538051102,0.000436726660133602,0.0365038227069199,0.248145623385147,0.283991925423029,0.307454700168575,0.332699891924893,0.392008381882679,6986.4617254568,0.99992673679543
"sigma2",0.487862471418936,0.000642473522152044,0.0573948184971181,0.391107261485216,0.447541411069241,0.482122192294073,0.522320367277609,0.616057896589261,7980.58827000255,0.999695275850169
"sigma3",0.679037247756666,0.000946558267880556,0.0812772892439966,0.540728040264702,0.621936343588676,0.672183645139701,0.728623903173967,0.85998187077714,7372.99118563972,0.999906355433641
"sigma4",0.554292070297385,0.000703550480383077,0.0646908112409753,0.444206286605787,0.508698717523817,0.548460411738424,0.594069845232603,0.69526406965845,8454.63117894276,1.00007829074775
