"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",16.6834909577417,0.00428020567232969,0.310511792405385,16.0165224739489,16.5074393557661,16.7092894012168,16.8888418705051,17.2199703805627,5262.92183466236,1.00115820392647
"kappa_0",0.225778966505219,0.00144936006436235,0.130260805473336,0.0159480446166101,0.124286785522885,0.216181995522274,0.312926036890168,0.503816648074133,8077.46225778102,1.00016379677682
"psi",0.301265652266822,0.000537757790317258,0.0394797086156766,0.232556733635517,0.27318259827026,0.29830384574459,0.325460113652036,0.387191611125147,5389.82241422997,1.00055921295075
"rho",0.00647760116463682,3.95724989595066e-05,0.00247552428056524,0.00222837026066536,0.00476950462651893,0.0062597437628565,0.00793817121821154,0.0120178104465285,3913.33861210956,1.00140799941748
"delta",0.0248359808352634,4.12997854522264e-05,0.00284757781021646,0.0198679550350545,0.0228229675111877,0.0246239844932141,0.0265699873868667,0.0310540549900109,4753.96093840711,0.9997863165086
"Beta",5.69822610994705,0.0115351431582782,0.775806638876018,4.19970207570996,5.17477637072961,5.68161714456144,6.22010191595569,7.25614990764509,4523.35846526267,1.00113781933664
"sigma1",0.321452777995779,0.000435089442288298,0.0384832354427411,0.256280389132285,0.294706670325813,0.317894428502279,0.345248185932049,0.407697373553037,7823.22940730005,1.00050770345262
"sigma2",0.481924410235318,0.000660117690133196,0.0578445698242895,0.384981442823935,0.440562779370573,0.47644973522102,0.516021858286002,0.611749673677954,7678.60714574827,1.00001582259689
"sigma3",0.638230180275132,0.000879386313426604,0.0782282720309945,0.505636210736734,0.583375365609526,0.63139598643339,0.684705238193477,0.813707316150823,7913.49022908338,0.999987064762916
"sigma4",0.551265331409906,0.000689808389568103,0.0638546691756249,0.442734068493677,0.506227248175337,0.545605213608675,0.589970900869046,0.692463908984475,8568.9651065062,0.999751119447867
