"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"y0_Log",16.9576953642602,0.00154067936459752,0.262963379355482,16.4115294099898,16.7878045616681,16.9660665737231,17.1372965929224,17.4474341537016,29040,1.00028655848126,1,16.510043263641,16.9660665737231,17.3751224956526,0.00526689887929699,0.00242741937586821,0.0018057580954558,0.00184785291534695,0.00300509189828801,0.00108943576782607,29619,27875
"kappa_0",0.227545332931039,0.000612912160178548,0.129108385075161,0.0189308644866056,0.12875505682521,0.217023249404614,0.314059568984964,0.506433468879346,44179,1.00019674653619,1,0.0351655423741194,0.217023249404614,0.455176596398691,0.000818054603315299,0.00123030033631011,0.00081011043013407,0.000858959066032061,0.0020028467406405,0.000433397172702055,34429,15105
"psi",0.881704186517643,0.000350982139669495,0.0683758350288421,0.754211665267906,0.834551630106271,0.879087771127759,0.9260684041198,1.02420143368304,37791,1.00011346609408,1,0.774303354300702,0.879087771127759,0.998041262450457,0.00088192442145868,0.00045779366776455,0.000406420509229066,0.000559912547741848,0.00114131421644426,0.000248904199981352,38040,32313
"rho",0.0041612173248159,1.28710534882879e-05,0.00202294916842438,0.000824561169131819,0.00272687881976971,0.00394644612810117,0.00534325907201068,0.00870313199996718,24626,1.00030664708014,1,0.00122512322751677,0.00394644612810117,0.00780475481166045,2.48183766793504e-05,1.51000601269343e-05,1.29942451381681e-05,1.58419710160418e-05,4.44049990150144e-05,9.1013164810028e-06,23210,17931
"r_d",0.000832747164668848,2.09333000253152e-06,0.000339126359997025,0.000196297615437082,0.000595059884490242,0.000823545339474291,0.00105841318117619,0.00152019612640389,26125,1.00053707617449,1,0.000286457640435248,0.000823545339474291,0.00140669722116202,7.50049317175664e-06,3.01374700664307e-06,2.32398224207266e-06,2.00676840505978e-06,4.87952649737169e-06,1.48022423603918e-06,24194,14225
"delta0",0.0297823843807876,1.93998238874996e-05,0.00305734766833581,0.0242217809030881,0.0276472743070104,0.0296108936408394,0.0317451284431568,0.0362086206808731,24739,1.00023336669261,1,0.0250353083358039,0.0296108936408394,0.0350794195396458,3.22805524365262e-05,2.01630256978693e-05,2.33580201203318e-05,2.42881567904252e-05,5.7372420738222e-05,1.37179081816825e-05,24641,27619
"Beta",5.79482354908795,0.00430388538212718,0.695430200851802,4.44597132172764,5.32104779129515,5.79346658007804,6.26317772455449,7.17246917563273,26019,1.0004279972764,1,4.65689011776769,5.79346658007804,6.94055417876832,0.0122760314548884,0.00511818512308215,0.00521325274796203,0.00590937558580551,0.0110002696533957,0.00305189840359051,26094,27576
"sigma1",0.302473039424506,0.000169523158259965,0.0356792738517479,0.242362926007808,0.277167676043113,0.299120917176124,0.323844335351566,0.381910966207276,44188,1.00035877353056,1,0.250165963005127,0.299120917176124,0.3659532606943,0.000325408303400054,0.000211252800621231,0.000195061956773435,0.000307380672399549,0.000798682935642309,0.000123549756749975,47530,30673
"sigma2",0.0711176434573649,4.08564429433171e-05,0.00843955423998488,0.0569356950010234,0.0651510796291884,0.070283172428507,0.0761475577862464,0.0901038075981378,42502,1.00051964510444,1,0.0588483014751698,0.070283172428507,0.0862040486974634,6.81618009620716e-05,5.05893119497544e-05,4.78727393210948e-05,7.01937631301525e-05,0.00022487169515302,2.99717064790613e-05,47039,28356
"sigma3",0.574881757474281,0.000340711875122782,0.0683288501161137,0.4596293384272,0.526846283529566,0.568506051750964,0.61561320092698,0.726261002815286,39898,1.00006628296391,1,0.47484200240623,0.568506051750964,0.696515795553927,0.00057256638374828,0.000402517082091158,0.000403740173147371,0.000575567681267652,0.00126360498379424,0.000246915515501614,42759,30741
"sigma4",0.531930199222358,0.000289655471405408,0.0615600611694285,0.427767859166639,0.488200904929194,0.526389616780249,0.569340952648103,0.66879049653311,45030,1.00002409012641,1,0.441649255235912,0.526389616780249,0.641760796422244,0.000571262372479009,0.000320427711365479,0.000334374361112666,0.000468042616565356,0.00113405143316164,0.000211030522043684,48433,31011
