"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.746302356813,0.0229962379894487,0.919261815198682,9.71570760362638,11.2992534298078,11.8163345908896,12.3069096928702,13.2821872908507,1597.95612957781,1.00343126243299
"kappaF_0",0.896854451499211,0.000763551224606064,0.0471537450919517,0.801912709618955,0.864956987294665,0.899572270334907,0.929849799075523,0.984823913403005,3813.78342363348,0.999697013382261
"kappaS_0",0.895942481299265,0.000808570710428839,0.046950269638179,0.799380939623001,0.864165622086312,0.897176950412641,0.929911114874334,0.981662215305727,3371.63202813462,1.00077553626195
"psi",8.98660841830944e-05,6.98894589673931e-07,3.60125478516327e-05,4.22242051066668e-05,6.52127808888625e-05,8.25792650508417e-05,0.000105548775171826,0.000181232133329501,2655.12113476684,1.00253071519644
"f_fast",0.36494171090305,0.00416414606792614,0.241580580731988,0.0138973707497492,0.158256356773376,0.332868931576,0.546919495716857,0.867101979233422,3365.67465008448,1.00077240616086
"rhoSlow",1.30212969239805,0.00277093870419443,0.191331480876629,0.957783412693881,1.16783744990699,1.29492898009262,1.42398214958934,1.69547161640847,4767.81096427943,0.999773352975217
"rhoFast",1.4945681609683,0.00304453571473589,0.229151116170303,1.09823350218549,1.33550893081651,1.47477337374894,1.63359827941274,1.99397643400118,5665.02470202054,0.999620107352908
"lambdaSlow",0.0130384002707537,8.43240298195454e-05,0.00537516665478339,0.00452461896121236,0.00929169829676487,0.0123952822884737,0.0160269439520181,0.0255291890979859,4063.32126951052,0.999756083302268
"lambdaFast",0.0776752645564405,0.000242457563433366,0.0159196751924869,0.046789425980955,0.0669394051620864,0.0777794689906535,0.0885393753810673,0.108675486131167,4311.18770866354,0.999381566112897
"alpha",0.476906487129489,0.00356615772320863,0.217617969541541,0.0633906403554003,0.323291190853345,0.474940054155656,0.626370545108731,0.913446309131895,3723.81771314938,0.999777216520783
"Beta",5.85623691409049,0.010965624989974,0.750356510185783,4.46169218810265,5.34364562143152,5.84371932083769,6.34165567367442,7.37773073857943,4682.40021201476,1.00005221394789
"sigma1",1.08909235947436,0.00224421118639042,0.164110501760799,0.818812165730197,0.972182941552746,1.07239099366618,1.1907017002049,1.45205538300325,5347.43237445055,1.00062119936161
"sigma2",0.663956237841959,0.00164687988233484,0.104051432139476,0.496636261352857,0.588370107968247,0.652188937999869,0.723945745919566,0.906895896253116,3991.83218491761,1.00032115765733
"sigma3",0.293511283552396,0.000739035031339224,0.0471681325449955,0.21875805410763,0.260393784565939,0.287489072782068,0.31994731416203,0.401932580963448,4073.49618883663,0.99978416593049
"sigma4",0.167210544785603,0.000446556911509966,0.0288789785260515,0.119657078774446,0.146630757541557,0.164197074247981,0.184268044048062,0.233213867800416,4182.25033538677,0.999880626193528
