"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",12.452715638323,0.0136969548532996,0.658083554217967,11.2311225898629,12.0040672023782,12.4313543031142,12.8789738288439,13.8213463893007,2308.41574008062,1.00214976309537
"kappaF_0",0.897932410420399,0.000844146877271259,0.0485471528299398,0.800016908934677,0.864870121878137,0.89919736472826,0.933037057971952,0.985699751161709,3307.43633300751,0.999642444967719
"kappaS_0",0.897554781067387,0.000779244820456247,0.0465032213841688,0.800940323557751,0.866494841523914,0.898776270130334,0.931819611234526,0.980851514671255,3561.37928679921,1.00021271628844
"psi",0.00168032066886621,1.26058477294683e-05,0.000657288033318679,0.000793969567645939,0.00123027667633349,0.00154335339207101,0.00198439998732924,0.00335959764457623,2718.73787475279,1.00122785435795
"f_fast",0.246945482957772,0.00280967823014673,0.185887805581421,0.00818033139281212,0.0927699282724563,0.209449834449152,0.365183176189306,0.680703944593512,4377.12176439507,1.00007968028092
"rhoSlow",1.25379367385777,0.00325105773142451,0.188585457292967,0.915544916074813,1.12203534782466,1.23964879382991,1.37909673636818,1.65304882958475,3364.86027624708,0.999973446793954
"rhoFast",1.42407141184222,0.00349218440520444,0.226172968535726,1.02943235644819,1.26417857409342,1.40768916168079,1.56272800885183,1.90865755785967,4194.56626032808,0.999766275520512
"lambdaSlow",0.00897238792705387,7.6021123513343e-05,0.00405695034141061,0.00223341386883954,0.00612093405211794,0.00854549830785346,0.0113062452840671,0.0184468046813965,2847.93987370718,1.00053819862763
"lambdaFast",0.0773355739934843,0.000246755453871626,0.0160812072973889,0.045728506780013,0.066415724650427,0.0777415927950488,0.0881009142975655,0.108375567108197,4247.21044023071,0.999588683750614
"alpha",0.493013906954198,0.00391895363364826,0.217628402356479,0.0764326547609353,0.337025644217393,0.492998795486571,0.647613431238564,0.917313340101424,3083.83332466242,1.00082502436734
"Beta",5.77856611743997,0.0119080457294042,0.744500782561688,4.39223162212803,5.27263834668265,5.73951983908285,6.26382950925086,7.3161246648163,3908.8529225711,1.00088242591438
"sigma1",1.16409977261016,0.0033499548196775,0.183165724636197,0.852318071086309,1.03328394848603,1.14973933913721,1.27825492427358,1.56286861944671,2989.58232536134,1.00051008387376
"sigma2",0.701898588745162,0.00200722866829669,0.118728824948227,0.508267576746696,0.616221122357589,0.688153190170864,0.771410767456511,0.970980753494899,3498.79612555433,0.999618632276011
"sigma3",0.297654126368263,0.000841081105647269,0.0471822594551695,0.222977426975329,0.263717795876985,0.291845356944058,0.324080215263507,0.405945606940813,3146.89110644522,1.00054917277429
"sigma4",0.168158309984103,0.000494328352706984,0.0302059635643224,0.119761678152429,0.146732861054831,0.164847416498437,0.184800194543564,0.238024910250636,3733.82833596181,1.0013810065855
