"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.0818670452615,0.0220855573960442,0.83791959268516,9.06439821779386,10.6692943641316,11.1741096582324,11.6101738751124,12.4590583041924,1439.42142272407,0.999720367845225
"kappa_0",0.89615989082396,0.000751998396749335,0.0448146932405024,0.806294462290781,0.865314684129546,0.897757727859837,0.927709908083624,0.979799711525238,3551.46080987859,0.999879170926551
"psi",7.06059602845022e-05,4.37909146844615e-07,2.3510746593433e-05,3.68603422945729e-05,5.42043255622182e-05,6.64638199510126e-05,8.32529604556931e-05,0.000127640496985781,2882.47007872843,0.999999391156792
"rho",1.03293223905161,0.00101241517022731,0.0484095125896737,0.934091577876674,1.00148003779162,1.03368132464741,1.06505733139294,1.12583855870156,2286.3574639129,1.00020552981499
"delta",1.04816285319098,0.00099818030315365,0.0482201810801718,0.949278834123428,1.01696272605071,1.04872663888344,1.08011830808069,1.14098862995027,2333.67128448031,1.00000286959274
"Beta",6.41437699291423,0.0112150769213247,0.689282691796315,5.12571277430729,5.94817885178989,6.39187236676929,6.86576850884434,7.82409671304625,3777.37614489065,0.999776163667333
"sigma1",1.08324560086348,0.00265838586719237,0.161630925096119,0.816433365389652,0.967357444174598,1.06862369474394,1.18646974619144,1.4417717352258,3696.68868665599,0.999812584294054
"sigma2",0.657364759105068,0.00178024777084391,0.103735068518667,0.492919482778109,0.583905553354909,0.645024691169268,0.717524202578295,0.886736593970427,3395.39492355963,0.999873884208749
"sigma3",0.297262834484251,0.000738949438426246,0.0468029311963147,0.223364150514866,0.264494165497402,0.291528182121067,0.323324702314368,0.40318478228164,4011.591102592,0.999465539265952
"sigma4",0.180722378803639,0.000529345666897806,0.0311563561548207,0.131872874921437,0.158568982962462,0.176721545475425,0.198709180406686,0.252170172910689,3464.29282721141,1.00118004476365
