"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.7906382389608,0.0118036784154805,0.577978777554845,10.6884708447033,11.4085080213664,11.7749330422466,12.1816902715685,12.9302160527042,2397.66799663442,1.00038218222152
"kappa_0",0.898138197240347,0.000941945102185796,0.046892749076109,0.805416694322538,0.865846279186138,0.898454870177711,0.932395770692033,0.985463427226116,2478.33610165414,1.00055884201244
"psi",0.00120087252975576,8.19172016435551e-06,0.000425086802983307,0.000609710484485579,0.000897349684568866,0.0011297351330059,0.00142188109815228,0.00223130816288832,2692.8057657006,0.99986199482356
"rho",1.03056678692717,0.000985201807528379,0.045901756951435,0.93889111582989,1.00065466851096,1.03035841598178,1.06148417584351,1.12113293406767,2170.74204520723,1.00157542873554
"delta",1.04249374441794,0.000981693290423526,0.0457903108954723,0.951586048629854,1.01258489726044,1.04258182409773,1.07356300297087,1.13201675000413,2175.68260223536,1.00169443134262
"Beta",6.26741107917458,0.0113844278493461,0.679368199600632,4.97171615144203,5.79496487579784,6.2587962574157,6.72677668047328,7.6282846330047,3561.1314953773,1.00052925089277
"sigma1",1.16176628537459,0.00302912593426391,0.17972282443331,0.857995774777639,1.03625714672871,1.14479460596876,1.26898469627108,1.55796130382248,3520.2362573718,0.999813232779554
"sigma2",0.689122477936777,0.00201176382575235,0.110902648100001,0.510842425833463,0.610828503497331,0.67410224521228,0.75717911511779,0.941166800993317,3038.99400321309,0.999842894783853
"sigma3",0.297115240777679,0.000747753920008393,0.0456259025291585,0.224178843923764,0.264863343245255,0.291921987567859,0.322105929762649,0.404914786488713,3723.10718903917,1.00011324106466
"sigma4",0.17791219075939,0.000545101872440251,0.0307269739043215,0.129121691909257,0.155712741285231,0.173421950791676,0.19576682204883,0.248315412214683,3177.49031484329,1.0005729712929
