"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.3636889089368,0.0227617735473875,0.769172589470614,9.85692476596721,10.9659628195617,11.4081202601414,11.8318146879302,12.6991119717606,1141.91926976021,1.00099269780408
"kappa_0",0.897281905061156,0.000943955564512092,0.047459984994548,0.802593786733035,0.864494275439879,0.898300636544513,0.931397321724481,0.98584191591725,2527.85460696725,1.00113457391272
"psi",4.88612916020127e-05,5.2587416757967e-07,2.47205597654865e-05,1.84529883550416e-05,3.23309470874611e-05,4.39381191293386e-05,5.89194098508938e-05,0.000110897002842339,2209.79978001662,1.00094235210109
"rho",1.34564867147728,0.00461234287963594,0.185146828513325,1.01185444925869,1.21485661236817,1.33459457547814,1.46530432627699,1.73899716417412,1611.34814761906,0.999861152179183
"delta",1.36481676023749,0.00463409465285249,0.186001463629505,1.0304475539648,1.23233786039893,1.35468077656548,1.48243987716749,1.75760842339923,1611.02738573054,0.999851648951532
"Beta",5.84034786445287,0.0139296141192616,0.735385654847619,4.44676432810283,5.33074575692007,5.81730641449669,6.33734561439296,7.34123400704285,2787.09733681966,1.00110390891882
"r_psi",0.00278164480786973,3.67331119659046e-05,0.00190946748450558,-0.00117709607584734,0.00153394673524088,0.00286112956042566,0.00411168728168288,0.00633736926601903,2702.14773474174,1.00107925806708
"sigma1",1.04212398377143,0.00309960450001368,0.165518447515677,0.774384632383028,0.928232630795398,1.0211041630025,1.13660690569147,1.42028378246022,2851.54508797388,1.00019238295741
"sigma2",0.645634955988922,0.001960615572407,0.100195681346088,0.482206096664635,0.574734532870879,0.633515049087262,0.703321465294003,0.870412636079752,2611.63878902017,0.99999168684607
"sigma3",0.292123966638047,0.000821721856714919,0.0449781336160245,0.217923986115647,0.260259438543747,0.286320053314617,0.319332523715777,0.393150427461009,2996.0784646142,0.999881455900081
"sigma4",0.165318165881517,0.000485370715951524,0.0282508965934909,0.119906296450679,0.145188378702906,0.161782370295988,0.181397043211292,0.229800632382035,3387.79661945041,1.00087321066936
