"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.7785514945581,0.0103227426930159,0.53129934103903,10.7860108675937,11.4170006669016,11.7492011804639,12.1320188222533,12.8588760596742,2649.03898810142,1.00041465844026
"kappa_0",0.899984047223325,0.0010845050224476,0.0477802802219794,0.80253152997448,0.86713121771323,0.901256161392367,0.934979504783711,0.986676041329273,1941.03894749593,1.00054722034827
"psi",0.000535331394836763,4.84174923572561e-06,0.000243740101476391,0.000213960761804882,0.00036508384127712,0.0004867645585237,0.000653495271213222,0.00114218578244528,2534.24961894848,1.00105702760718
"rho",1.29500575825891,0.00490665346836749,0.188200490136858,0.955697524397375,1.16256658645191,1.28720482130461,1.41549029875178,1.68451256107773,1471.19664591781,1.00113509721367
"delta",1.31035007475108,0.00489741741059019,0.18839733543011,0.97076770154575,1.18038540239979,1.30194613543451,1.43169817293001,1.70108215972989,1479.84173253283,1.00116219095546
"Beta",5.77358792194093,0.0148471786661114,0.717688056636913,4.42888688895086,5.28184977682273,5.74836490262802,6.23785325273217,7.20862615163571,2336.59567546198,1.00031788563829
"r_psi",0.00510278562180734,2.78747086519837e-05,0.00178088442226208,0.00149346071988277,0.00396741861733885,0.00511693083556267,0.00628706172284418,0.00849605477747457,4081.79130789636,0.999842559333826
"sigma1",1.03006225673366,0.00300679776962478,0.155888050269427,0.762167470968868,0.919950923987527,1.01600272757614,1.12861028447974,1.38426694678346,2687.92540252474,0.999874084243351
"sigma2",0.646369970795021,0.00170775572927298,0.098912262892661,0.487977570676079,0.577873688878205,0.634206115621068,0.70346581224586,0.870217449654729,3354.6620316178,1.00006555210428
"sigma3",0.293958905344188,0.000865242763309936,0.0457008317017593,0.222712826522057,0.261978513633458,0.287904601606855,0.320515391695202,0.398744218675702,2789.79477341948,1.00024314922823
"sigma4",0.166375343174451,0.000574471157520649,0.0295258512492549,0.119407399463866,0.145477877638522,0.162645874432478,0.182825008816767,0.233397795729899,2641.60815728246,1.00089504246858
