"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.055093286322,0.0182669002581277,1.04806514623357,8.31733400124688,10.5835479185458,11.1818485570374,11.7226838618599,12.6684480203935,3291.90158008186,1.00150437595441
"kappa_0",0.89696371196735,0.000644431916440294,0.0474341896743091,0.80195418634041,0.864708191917417,0.898111609752547,0.931133413309729,0.98564325371634,5417.87385407562,1.00088565568474
"psi",8.47396037178969e-05,4.41862652272399e-07,3.21870136789097e-05,4.17698412065587e-05,6.20731354077916e-05,7.86045922049164e-05,9.96790006116488e-05,0.000166949557117187,5306.2386545595,1.00000637577679
"delta",1.67866368039842,0.00397111901149408,0.233403865708735,1.24946627660821,1.5142855870985,1.66702110780177,1.82853483229442,2.17075853226395,3454.5404626896,1.00193015810114
"r_d",1.72536533729854e-05,2.25433495436487e-07,1.8959110049746e-05,4.87890775953668e-07,4.6775339317503e-06,1.13309231816349e-05,2.30670503195463e-05,6.84874261399552e-05,7072.92421885151,1.0006550373898
"rho0",1.66418559066453,0.00397255432558561,0.23276871174062,1.23747767339136,1.50081139787843,1.65419431392084,1.81389622114252,2.15440966681368,3433.28231135989,1.00192846439213
"Beta",5.3255768599708,0.00963168519276045,0.735200597134731,3.97750350769172,4.81682292283554,5.28957357775118,5.80973294281173,6.84348396979925,5826.49185089036,1.00064085098301
"sigma1",1.14132936308893,0.00197469747447736,0.175560425853097,0.85086960818435,1.01907325534857,1.12036873045035,1.24761549826865,1.53388072276665,7904.09424227639,1.00028812358423
"sigma2",0.661327119219678,0.00136178733092986,0.104293640485972,0.493110812619929,0.58725418602859,0.64976953092489,0.72141978306474,0.905141905794945,5865.39244580877,1.00067701847346
"sigma3",0.29025992596578,0.00051585146162509,0.0455872242213325,0.216873627934732,0.257850300517088,0.285316417546069,0.316819167567985,0.393072766076328,7809.74704245903,1.00001979877732
"sigma4",0.156935142918142,0.000311232766147186,0.0262785471821907,0.114903650162536,0.138219427313371,0.153730418615123,0.171983356132221,0.218108640979686,7129.05684421023,1.00045886654807
