"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.7774587773595,0.00837407788132737,0.578648533853558,10.6830825916986,11.3835060223188,11.7699210639397,12.1471268165924,12.9400983237378,4774.80591136923,1.00057826325573
"kappa_0",0.896361199566157,0.00067487381164739,0.0470002375986083,0.801184179332679,0.864270267659408,0.897471955791288,0.930441329648303,0.982260415925963,4850.14760049909,0.999750898474825
"psi",0.00154252479027833,8.28322772185838e-06,0.000571918308661049,0.000743261073547178,0.00114542213958332,0.001437541157425,0.00181295515650378,0.00293674515785958,4767.25954766692,1.00076626481807
"delta",1.61526535882966,0.00371041433821115,0.23780703069626,1.18141141167937,1.44925542171557,1.60650887571458,1.76679430409836,2.11175115218551,4107.75526940298,1.00174684532204
"r_d",9.61010420349788e-06,1.2518436223744e-07,1.11472815066298e-05,2.44941493009189e-07,2.64084229554339e-06,6.29300195428478e-06,1.25521043641423e-05,3.87791194252677e-05,7929.35341692549,1.00034442520612
"rho0",1.60681872451295,0.00371300636896165,0.237787513088173,1.17495613107328,1.44071349140518,1.59672924921295,1.75924721412401,2.1017908530099,4101.34876003051,1.00175134848758
"Beta",5.2341270093307,0.00933221649308347,0.729611533820646,3.87771295174402,4.72409111744524,5.2069394417206,5.71267943478788,6.73832749289237,6112.42820627677,1.00031333114087
"sigma1",1.21350665281028,0.00238693073682981,0.198321131323308,0.884632094067205,1.070020364554,1.19333649542021,1.3321980008387,1.66258065785125,6903.32545356354,1.00024498690219
"sigma2",0.694731504998964,0.00142769307094608,0.116136037578184,0.510459088479882,0.611499571394362,0.680818427008026,0.762663718802434,0.961954637653771,6617.04830719501,1.00044531951054
"sigma3",0.296217239028332,0.000562104818576184,0.0462141233893173,0.223223335218673,0.264006695708818,0.290110153101042,0.32122360165271,0.403318632675848,6759.5038947319,1.00038082826082
"sigma4",0.157338454421559,0.000309306910327555,0.0266488072204906,0.115549349837801,0.138803269595892,0.153531384860407,0.172436054151797,0.219912721874406,7422.9460581276,0.999948250447331
