"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.7909940035887,0.0159574361052091,0.775376380997409,10.2167260339268,11.3578442563399,11.8231312399676,12.2801582737402,13.1604575741172,2361.01587418695,1.00197018923263
"kappa_0",0.896417450015526,0.000686542729756974,0.0471520687256735,0.799665808211009,0.86451992566693,0.898015209839407,0.929390282750672,0.983647947134717,4717.00523293883,1.00002131604453
"psi",6.68324277214326e-05,2.79558052020732e-07,2.21227409022865e-05,3.42695459389668e-05,5.14198867518339e-05,6.30280541017223e-05,7.81072887035288e-05,0.000119463894656983,6262.29979469431,1.00028657953777
"rho",1.33539058325647,0.00323917361856146,0.192376016096561,0.993962522645914,1.2000876020705,1.32285992998785,1.45822062788579,1.74826402891317,3527.2269176073,1.00117205307466
"r_d",4.64139910175494e-05,4.1970344652202e-07,2.6828928676746e-05,3.89848823515313e-06,2.62154968795561e-05,4.38781078963037e-05,6.31228115957294e-05,0.000106155874001772,4086.21854724556,1.00064523386648
"delta0",1.36335966544705,0.00324358398419501,0.193045735146002,1.02108747960566,1.22751109606057,1.35005950114103,1.48630400792729,1.77312618911579,3542.17593491669,1.00119715886193
"Beta",5.82317671172328,0.00969752806534195,0.729742506586619,4.42882250990757,5.32459682213891,5.80052545354546,6.30154376964168,7.32297832802491,5662.61712335909,0.999941698319634
"sigma1",1.04377107043261,0.00195966367002821,0.160124007655625,0.776398260350419,0.930993748009046,1.02814330587389,1.13827920671902,1.40852449292756,6676.51485831867,1.00063190107872
"sigma2",0.644591324931364,0.00134367937179777,0.100231371882312,0.48053826931452,0.57224135384168,0.633211213858041,0.704765744986675,0.873473581593181,5564.37062786619,1.00061294979356
"sigma3",0.291907541916021,0.000545394895666574,0.0459490352294537,0.217986352039401,0.259180874063284,0.286625518224974,0.31844764741707,0.398787893697732,7097.91274309627,1.00002349098821
"sigma4",0.167220545128231,0.00036785883059097,0.0294005434933694,0.120723444496103,0.146289935179295,0.163538817472145,0.183983264988076,0.233923802050483,6387.75639968547,1.00044950087995
