"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",12.3382543666691,0.00841410882342471,0.55982242155646,11.2686823247321,11.9663216172888,12.3245658345433,12.6967496066627,13.4814729216072,4426.7431884417,1.00074886549978
"kappa_0",0.896906126587859,0.000622906749314459,0.0465925024757249,0.801928579434567,0.865447895000081,0.898474007163789,0.930142961444147,0.981862256619951,5594.81848107339,1.00092257898831
"psi",0.00103066529130517,4.67221040397497e-06,0.000344769585810433,0.000527203466609078,0.000787666020381227,0.000974108112868009,0.00120455542572849,0.00185984588965669,5445.19089850988,0.999869154277254
"rho",1.28380980080248,0.00327024969387921,0.19094934991687,0.935386656175746,1.15082229951757,1.27541942932947,1.40654664887665,1.68850228705741,3409.3731842271,1.00048957917694
"r_d",5.98435975034333e-05,4.21235624659899e-07,2.71330883459403e-05,1.17259683747818e-05,4.07826615998261e-05,5.81982824248533e-05,7.69856921695986e-05,0.000118225601676649,4149.04620723949,1.00091057321403
"delta0",1.30978642681737,0.00325277441258047,0.19101772611282,0.962618093167437,1.17665807736071,1.30106955606064,1.43302624334328,1.70970597269046,3448.57322341328,1.00049912046035
"Beta",5.77923582993478,0.0107701580273516,0.747649932945262,4.36879963181453,5.25464476963341,5.76308065977094,6.27294984490811,7.30075735377889,4818.95028785142,1.00117366396723
"sigma1",1.07622963208288,0.00199110313103325,0.165629668566796,0.79839462291677,0.959029297231878,1.0598667734604,1.17550238199263,1.4523745043203,6919.72372118749,1.00042567150241
"sigma2",0.660792988831709,0.00133384085652426,0.104501740488533,0.492892970601711,0.585983885129769,0.647420575188196,0.721291861616644,0.904388681059505,6138.17145698941,1.00004102239036
"sigma3",0.294475705896568,0.00055520468562563,0.0467981930009476,0.218991849390086,0.260860716670302,0.289195155536668,0.321656394073597,0.399437269175881,7104.80107869183,1.00029444287905
"sigma4",0.167228458424006,0.000366641784174116,0.0295141298821446,0.121586288424248,0.146468575060239,0.163029447617941,0.183828027427262,0.236467540874913,6480.01562413218,1.00017322624336
