"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",10.4072903536633,0.0669276957260993,0.912701808148114,7.71090241093017,10.2718698911301,10.6759795023773,10.9205552475776,11.3061196997806,185.971363918438,1.00474605682248
"kappa_0",0.897972097891529,0.00109486621785719,0.0492712875972474,0.79985966703282,0.864468654907518,0.899583163606614,0.933813520317787,0.987367696602545,2025.18970929205,0.999395220847383
"kappa_inc",0.372494993861673,0.0055253011753724,0.248724994323192,0.017289798313221,0.166024933519792,0.338852081679549,0.546477223141611,0.921448244923334,2026.40826371784,1.00214140290304
"psi",0.000676913835344972,2.38783831691098e-05,0.000497112665041546,0.000102914208346991,0.000324200654914564,0.000532376352338271,0.000905142026320055,0.00195639673207171,433.410892634817,1.00240605123239
"rho",1.430773809202,0.00690806782336542,0.200581874580647,1.06751880410362,1.291574374312,1.42265366711773,1.57129532829509,1.83191580674018,843.082715997029,1.00161686497151
"rho_inc",0.64566825347843,0.00867994804505405,0.299662828965267,0.126960670008735,0.43264372141271,0.619070732645635,0.829668990173303,1.28730490582801,1191.87716424471,0.999883452324583
"alpha",0.465314407751183,0.00578568962183495,0.200758442507901,0.0975153972616102,0.318446909849392,0.46159626471578,0.604062228096056,0.866801343552119,1204.03017667977,1.00081979055185
"delta",1.43167050964653,0.0068815949460376,0.200624406862561,1.0665058461001,1.29407664428784,1.42215643976959,1.57232492672755,1.83166011533634,849.94205587563,1.00157912690371
"Beta",6.23539975321046,0.0191456670137153,0.728614852388707,4.82670753987508,5.72051086667924,6.23298725413795,6.72375423204197,7.6507464122863,1448.28834955392,0.999995900149495
"sigma1",0.654276370211731,0.00208993716585458,0.101950367627146,0.489244496126809,0.580629427997521,0.64232889464381,0.717779083686954,0.881571864147464,2379.63930642442,0.999657002973976
"sigma2",0.798977914003687,0.00434564658313245,0.130823824854377,0.594076011381147,0.705518019167227,0.782972921975528,0.874124949607608,1.10135934313146,906.285177796826,1.00150548106272
"sigma3",0.142283412878589,0.000663209726642419,0.0263929131509611,0.101957903328096,0.123744877028469,0.138737292466354,0.156740979092056,0.203026541875613,1583.6998785484,1.00114397334088
"sigma4",0.247273482921936,0.000976118275796383,0.0395877459011553,0.185235026462604,0.218573381782534,0.242378642405392,0.269456000814162,0.339085282332997,1644.81349233183,1.00093032962964
