"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.6270924073569,0.026096280747154,1.48248063809613,5.37688257877605,7.67138559887172,8.77649892667695,9.67333365591481,11.2009155557116,3227.16245377934,0.999603475471483
"kappaF_0",0.896839231410124,0.000833186450411064,0.0476606976088969,0.799730842147842,0.864519017131461,0.896431941725869,0.931024983326161,0.984899468875904,3272.17402095576,1.0001093806305
"kappaS_0",0.897181047800556,0.000715034377929026,0.0451705935416532,0.804119365250385,0.866162380117243,0.898140945905517,0.928249411940958,0.982168980870453,3990.77965222961,1.00036962875375
"psi",0.00348971332081781,3.72723124057825e-05,0.00121122603033132,0.00173290253195901,0.00261986841049364,0.00328095692330066,0.00415214933699296,0.00633897496000956,1056.03355052827,1.00047344993126
"f_fast",0.630078756917779,0.00889245134932567,0.257397026301481,0.0799647168427391,0.446631951306155,0.661186655754448,0.84163058290039,0.995835013212562,837.845718588051,1.00074687298907
"rhoSlow",1.24888666921492,0.0133363454685726,0.322483059553676,0.391518813256891,1.11018775281413,1.3008203631279,1.45827244491286,1.74044295712792,584.709482361071,1.00405639118064
"rhoFast",1.64769057712892,0.00511418946372816,0.261845804004907,1.18949186704479,1.46311970307865,1.62893824983854,1.81126252959463,2.20609180044243,2621.42605343148,0.999918380424128
"lambdaSlow",0.0152516066864211,0.000154107541413574,0.00753001442170421,0.00352750299487009,0.00999889301151152,0.0141714530991658,0.0194092363178276,0.0327246158350204,2387.50248433445,1.00126902944947
"lambdaFast",0.0781632302756986,0.000418984510569871,0.0167565885939021,0.0440985541744896,0.067221800026182,0.0786686255842413,0.0896434594383007,0.109786440947873,1599.46697860439,1.00102410247148
"alpha",0.527287134813482,0.00312802648829236,0.221604998694591,0.100487373343114,0.364806786451767,0.531809505033517,0.692319639864478,0.931694008276779,5019.01230967416,0.999857600076642
"Beta",5.97970829071796,0.0104801149417887,0.739204130032511,4.5090314655564,5.48069242681888,5.95807380213131,6.4674695198739,7.44328665739836,4975.04115456451,1.00094059425273
"sigma1",0.715609650271722,0.00218352683560357,0.119290246912419,0.519649237663198,0.62887336568187,0.70134592944236,0.789662295370741,0.987755992640755,2984.64585781933,1.00120497582072
"sigma2",0.553329471831239,0.00134355528651977,0.086534186723333,0.411940116072704,0.49348231197093,0.544078210503304,0.602802099863378,0.7487489861806,4148.24452416756,0.999914480778827
"sigma3",0.151996682544604,0.000393183841402972,0.0281266335602103,0.106461561836854,0.132250677327752,0.14888594556797,0.167658268793897,0.216806269751584,5117.33899445772,0.999731425480391
"sigma4",0.246350296651629,0.000586426780610539,0.0381170599350367,0.183764804281933,0.21992008965915,0.241823438248317,0.267976901220161,0.33462405685727,4224.8490795154,0.999827821298579
