"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.20436281075492,0.0248399242519349,1.36320281982156,5.22819774144756,7.35538520266456,8.30890892470419,9.13706497339003,10.5784201724061,3011.76039000661,1.00152412418506
"kappa_0",0.897752031495418,0.000963064631988653,0.0482732865934204,0.798887292827468,0.864658248843632,0.898999026539893,0.932973937632041,0.986371764433102,2512.48147317937,0.999723355469723
"psi",0.0026572345101849,2.21075165548157e-05,0.000943017032953523,0.00136829667406701,0.00200142253556415,0.00246719452359018,0.00310311786655043,0.00503563485156365,1819.52973145947,1.00056847878212
"rho",1.80698478922772,0.00638282620153693,0.241978132741943,1.3492934691894,1.6360268746616,1.80344049757407,1.96892344829528,2.29420872689151,1437.22976850202,0.999789886016536
"delta",1.83340117812018,0.00637029171311717,0.242713838275204,1.37419717008216,1.66130840047075,1.82908301658171,1.99428145555296,2.32164715190882,1451.67847007601,0.999767898015796
"Beta",5.53192707669389,0.0146765060895729,0.746047067164614,4.15224473384472,5.02079717595543,5.51212620934344,6.03782514338504,7.01446431391295,2583.96779536924,1.00083230662543
"sigma1",0.720289572133727,0.00245643341107466,0.117904542427313,0.527234472438029,0.636189368642865,0.708875102084928,0.790400473652909,0.984932909675699,2303.83346675883,1.00054391538059
"sigma2",0.554540826548978,0.00148435796515549,0.0860178946391277,0.414895236135559,0.491769178822,0.543510188533608,0.606556115092731,0.753987976221816,3358.15179120679,0.999847685132807
"sigma3",0.139062368110684,0.000529652670977012,0.0247430868941024,0.0991058761954081,0.121503743017133,0.135904407097043,0.152991148507967,0.193171409036489,2182.35514693201,1.00000512024354
"sigma4",0.246304288141134,0.000636557681551837,0.0364902060156402,0.18668476309112,0.221169725731239,0.242031226099725,0.266697613289551,0.329626966822215,3286.07222060701,0.999649304954257
