"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.58643455057114,0.0176850288951357,1.34858764446112,5.56976584286285,7.77172880881317,8.73312147656492,9.57634248906288,10.7686094938853,5814.96098724626,1.00005609431362
"kappa_0",0.895445999485262,0.000744534981243647,0.0466718083999718,0.80051855221448,0.864591166080473,0.896572934757383,0.929528999781637,0.9796806290872,3929.51583164284,1.00057531313869
"psi",0.00212392475257,8.43601902751123e-06,0.000639368659377538,0.00116823420466149,0.0016732430068146,0.00203050515879316,0.00245171768049776,0.00366958381180867,5744.17400284974,1.00054909073755
"rho",1.39463902214317,0.00392278273530723,0.201516364511714,1.02037588363093,1.25747328401636,1.38481502609307,1.52358937345975,1.81884740237237,2638.95587567369,1.00289797749741
"delta",1.41599031843832,0.00390334470416391,0.201539219206979,1.04187871526828,1.27872221178174,1.40528968041057,1.54453842539728,1.8391827616122,2665.90907120164,1.00288486270295
"Beta",6.03928189876263,0.0103596284804582,0.738191244891598,4.66368772138838,5.53087295119103,6.01603603320446,6.53928492677979,7.51371589941053,5077.49399325205,1.00160387116132
"r_psi",0.0022735271827091,1.62829336053356e-05,0.00132821319053123,-0.000427978695458667,0.00139590160874738,0.00229726177966466,0.00317585299573993,0.00479847840860499,6653.80813697249,1.00007818336365
"sigma1",0.653816030126161,0.00130309113773255,0.102181669326768,0.486360337318949,0.581527164460743,0.642276196739612,0.713361328336667,0.886967163405823,6148.88547811357,1.00068401361093
"sigma2",0.559396293006968,0.00106970424794009,0.0827687060317824,0.425799711445389,0.500597818325142,0.55027855803133,0.606102930869477,0.750467016753936,5986.93978951996,0.999823991350276
"sigma3",0.147762060569786,0.000397278200919124,0.027742357377727,0.103661785233834,0.128186378312339,0.144340098393657,0.163828333234188,0.210034409524627,4876.37676236659,1.0002155690567
"sigma4",0.244614640761343,0.000447896455049426,0.0360112732453498,0.18582621141306,0.219096904257994,0.240382356703475,0.265091215317028,0.326713075435912,6464.30298050602,0.999676566061905
