"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.06193657298782,0.0474237715662981,1.35577585967168,5.00861137812121,7.20107779169135,8.21628685622184,9.01711364858334,10.3213776012187,817.30397948368,1.00179432138882
"kappa_0",0.898350401663583,0.00110045805340136,0.045604262952357,0.806242217879269,0.866667976537036,0.900274371767705,0.932446292224347,0.980128058698477,1717.37009523267,1.00196712302668
"psi",0.00274896901377041,2.68824972048201e-05,0.000866508610421322,0.00151775104283072,0.00217599709770967,0.00260425413567739,0.0031345708358196,0.00486803017698252,1038.97846645837,1.00315337531951
"delta",1.76425114505127,0.00899888115214428,0.24681392142109,1.3081780597003,1.58865051927805,1.75699781718161,1.92824358262347,2.26560243700911,752.250131205022,1.00498289856708
"r_d",9.05768744600397e-06,1.7680371059122e-07,9.25650409661381e-06,2.36136269583223e-07,2.45645401319051e-06,6.31452912010324e-06,1.26974072537469e-05,3.39608298974714e-05,2741.0139427005,1.00075460444754
"rho0",1.74951141758216,0.00920193320915779,0.246891088146977,1.29155494321659,1.57328832849793,1.74072952789722,1.91417454777923,2.25584538020062,719.867678023958,1.00519527791731
"Beta",5.55484005517145,0.0142363852954996,0.733078148614499,4.17808220415817,5.05374291200079,5.52015198888704,6.05180935258425,7.01812787541866,2651.5577000065,1.00096933747175
"sigma1",0.702078219748202,0.00333948718237419,0.121950348440693,0.510428334811889,0.611776972763098,0.688547900525052,0.772922146348188,0.98063491007896,1333.5414807628,1.00213281833688
"sigma2",0.561375952322478,0.00139036536580345,0.0825534708383973,0.422304341951134,0.50264671534707,0.554523809879006,0.610126747713146,0.755329015408282,3525.43565661886,0.999950818764146
"sigma3",0.136316662114393,0.000427714326213211,0.0235751296122165,0.0979425268146121,0.11892005911209,0.134171451537377,0.150300582861022,0.190337519054986,3038.08964155089,1.00012880578995
"sigma4",0.24718193507147,0.000674094042585094,0.03830152679009,0.185697166729192,0.221342964951317,0.242271541255716,0.268099576249577,0.336509553404603,3228.42866433582,1.00140329920639
