"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.75405761144603,0.0326580131236095,1.54995262467829,5.50624722487146,7.76073833787653,8.84780290636589,9.82170732238562,11.5307326095913,2252.46125486202,0.999831754190868
"kappa_0",0.895987318431484,0.000907183798988045,0.0472477914979868,0.797806775177588,0.864843166947515,0.898339242164225,0.930772475975842,0.978774158048977,2712.51691284882,1.00091250554476
"psi",0.00293015273906086,2.34518243501435e-05,0.000984143776638162,0.00157394598440873,0.00226963313810418,0.00274185191746545,0.00339614749405768,0.00545292395157432,1761.01816405651,1.00118340005963
"rho",1.78932189757505,0.0063827884683065,0.239305991840047,1.34382134220512,1.61942113435197,1.78039625780168,1.95163514034831,2.26705091869622,1405.67927617846,1.00099060152788
"r_d",4.4349424207683e-05,5.79875943788057e-07,2.50712128387407e-05,4.97270825606025e-06,2.63260831910631e-05,4.09773749349458e-05,5.86123786664403e-05,0.00010160331358,1869.30644282216,1.00154686726487
"delta0",1.83374629507202,0.00639676888473795,0.239857254527798,1.38616900471895,1.66605701523737,1.82498186226991,1.99486801945638,2.30825708052253,1405.99700884507,1.00091257864719
"Beta",5.54909736960696,0.0143035842881582,0.723243234436033,4.23403450490486,5.03621104501164,5.52248377157094,6.03536150702036,7.02617934643252,2556.69546100025,1.00106489556144
"sigma1",0.692624884161649,0.00212342439501193,0.107065777856514,0.520622340242528,0.61557720549072,0.680274146545838,0.756233183118218,0.93847952076508,2542.30556596801,1.00124456709873
"sigma2",0.549119018212489,0.00146349016270018,0.0823945655979173,0.416277487065475,0.490262790517047,0.53925167153006,0.596810060443144,0.738543135260362,3169.69534250981,0.999907610934475
"sigma3",0.139522419740702,0.00050715015662939,0.0243589362174262,0.100836340562706,0.122173094027833,0.136528588116325,0.153132434333548,0.194118626852843,2306.97829530977,1.00071451223701
"sigma4",0.246514764858599,0.000708207584791332,0.0382746021946979,0.185598817185074,0.219075900213868,0.241428814587143,0.268620617802136,0.33304096361736,2920.78926536956,0.999975232974923
